Year,All Industries,Crop Production,Total,Cattle Ranching and Farming,Other Animal Production,Mixed Farming,Support Activities,Total Agriculture,Total Manu-facturing,Food and Beverage,Total Agri-Food Industries,clazz
1996,1405.6,26.3,40.1,29.9,10.2,24.6,1.5,92.5,106.8,19.5,112.0,0
1997,1453.2,24.5,41.1,31.4,9.7,20.2,3.1,88.9,118.2,19.1,108.0,0
1998,1508.9,25.8,42.8,31.8,11.0,19.1,2.2,90.0,125.4,20.2,110.2,0
1999,1543.2,27.2,42.2,29.9,12.3,10.3,2.1,81.8,134.7,18.3,100.1,0
2000,1583.1,20.8,40.7,28.8,11.9,7.7,0.0,70.6,137.6,18.9,89.5,0
2001,1627.4,16.5,33.0,20.6,12.4,8.6,1.5,59.5,139.2,22.1,81.6,0
2002,1673.8,15.4,35.5,23.5,12.0,7.2,2.3,60.4,147.6,28.3,88.7,0
2003,1729.0,20.6,37.3,25.6,11.7,5.3,2.2,65.3,147.1,25.3,90.6,0
2004,1774.8,17.2,41.0,29.7,11.3,5.5,1.5,65.2,146.6,26.2,91.4,0
2005,1820.4,17.3,28.7,20.7,8.0,8.5,0.0,55.9,134.4,22.4,78.3,0
2006,1911.6,14.1,27.2,18.4,8.8,9.3,1.8,52.4,140.9,27.4,79.8,0
2007,1991.0,14.8,26.9,18.5,8.4,6.2,1.9,49.8,144.4,22.7,72.5,0
2008,2053.9,15.7,35.8,25.0,10.8,4.9,3.0,59.3,140.3,23.0,82.3,0
2009,2029.7,19.3,32.1,21.6,10.5,4.9,1.9,58.3,123.4,20.7,79.0,0
2010,2023.7,19.1,24.9,17.2,7.7,5.4,2.0,51.4,125.2,22.6,74.0,0
2011,2099.5,17.2,31.9,20.0,11.9,4.1,2.1,55.3,133.7,20.1,75.4,0
2012,2172.5,22.1,28.2,17.0,11.2,3.8,2.2,56.3,137.6,19.5,75.8,0
2013,2226.2,26.9,29.0,17.6,11.4,3.9,3.5,63.4,142.7,27.4,90.8,0
2014,2274.6,24.8,28.2,16.5,11.7,5.4,2.2,60.6,144.5,25.5,86.1,0
2015,2301.1,18.6,33.8,17.6,16.2,6.8,3.7,62.8,139.9,26.4,89.2,0
