F01,F02,F03,F04,F05,F06,F07,F08,F00_1990,F00_1991,F00_1992,F00_1993,F00_1994,F00_1995,F00_1996,F00_1997,F00_1998,F00_1999,F00_2000,F00_2001,F00_2002,F00_2003,F00_2004,F00_2005,F00_2006,F00_2007,F00_2008,F00_2009,F00_2010,F00_2011,F00_2012r,F00_2013r,F00_2014r,F00_2015p,F00_nan,clazz
10181266,4.5,-1,3997783,1.6,-1,6183483,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
2200140,-6.6,-1,741843,2.0,-1,1458297,-10.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2356367,3.1,-1,727005,0.7,-1,1629362,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2632560,-2.8,-1,1331947,23.5,-1,1300613,-20.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2707788,23.1,-1,1078736,45.4,-1,1629052,11.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3640691,38.3,-1,1816245,36.4,-1,1824446,40.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4001269,9.9,-1,1882490,3.6,-1,2118779,16.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4087581,-21.4,-1,2019356,-33.5,-1,2068225,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4544994,-3.5,-1,2566030,2.2,-1,1978964,-9.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4691087,17.2,-1,2186300,16.1,-1,2504788,18.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4708430,-3.3,-1,2511198,11.4,-1,2197232,-15.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4867307,3.8,-1,2254525,3.1,-1,2612783,4.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5201917,-13.1,-1,3035205,-7.7,-1,2166713,-19.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5251513,28.5,-1,2301903,14.0,-1,2949610,42.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5297317,16.6,-1,2779189,8.3,-1,2518128,27.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5336306,1.6,-1,2495672,8.4,-1,2840634,-3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
5813428,8.9,-1,2606735,4.5,-1,3206692,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
5987232,13.0,-1,3288223,18.3,-1,2699008,7.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6491477,11.7,-1,2697170,3.5,-1,3794307,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
6775409,-8.8,-1,2431171,-10.1,-1,4344238,-8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
7428837,-11.4,-1,2703726,-15.9,-1,4725111,-8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
8061065,19.0,-1,2550749,4.9,-1,5510316,26.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
8385912,29.2,-1,3212989,19.1,-1,5172924,36.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
8711642,-5.4,-1,3049960,2.8,-1,5661682,-9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
9209942,14.3,-1,2967054,16.3,-1,6242888,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
9744893,11.9,-1,3936307,29.1,-1,5808586,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
