2011,2012,2013r,2014r,2015p,'15/'14,2011-2015,F01,"Item_Alfalfa Meal and Pellets, Dehydrated",Item_Barley,Item_Beef and Veal,Item_Beer,Item_Bovine Semen,Item_Canola Seed,"Item_Canola/Mustard Oil, Crude","Item_Canola/Mustard Oil, Refined",Item_Cereals Preparations,Item_Dairy Products and Eggs,Item_Feeds of Vegetable Origin,Item_Foods and Food Materials,Item_Fruit and Vegetable Juices,Item_Fruits and Vegetables,Item_Hay and Fodder (incl. Alfalfa Cubes),Item_Honey,Item_Horse Meat,Item_Lentils,Item_Linseed,"Item_Live Cattle, Other","Item_Live Cattle, Purebred",Item_Live Hogs,Item_Malt of Barley,Item_Meats (1)-1Total,Item_Mustard Seed,Item_Nursery and Other Crude Vegetable Products,Item_Oats ,Item_Oilseed Cake and Meal,"Item_Other Beverages (Wine, Mineral Water)","Item_Other Cereal, Unmilled",Item_Other Cereals Milled,Item_Other Crude Animal Products,Item_Other Dried Beans,"Item_Other Live Animals (incl. Bison, Sheep, Poultry)",Item_Other Meat (2),"Item_Other Oils, Fats, Waxes and Extracts",Item_Other Oilseeds and Oilnuts,Item_Other Products,Item_Peas,Item_Peat Moss,Item_Pork ,"Item_Potatoes, Seed and Other",Item_Prepared Animal Feeds,Item_Processed Meat,Item_Processed Potatoes,Item_Raw Hides and Skins (incl. Fur Skins),Item_Seeds for Sowing,Item_Sugar and Sugar Preparations.,Item_Tallow,Item_Vegetable and Fruit Preparations),Item_Wheat,Item_Wheat Flour,Item_Whiskey,Item_nan,clazz
101,4298,1260,1222,1200,-1.8,1616,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10920,11630,11879,21634,26309,21.6,16474,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1161,21011,1692,1750,2571,46.9,5637,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
119427,124614,104330,100471,88499,-11.9,107468,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
120205,142673,212619,242820,316935,30.5,207050,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
120213,188391,183018,194184,194773,0.3,176116,1.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12220,11897,12837,11807,16422,39.1,13037,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1226,-1,15,32,30,-7.7,261,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
142966,184452,167092,145448,113017,-22.3,150595,1.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1444082,1297934,1397723,1996156,2266268,13.5,1680433,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14647,21687,25967,6968,20742,197.7,18002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
151501,179954,174599,225601,237583,5.3,193847,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
165160,225526,229939,279168,254296,-8.9,230818,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1651859,1872995,1615906,1766655,1676864,-5.1,1716856,18.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1731,4933,531,3512,1346,-61.7,2411,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
188384,176110,204577,253286,221079,-12.7,208687,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
1915327,2276110,2307003,2339479,2422649,3.6,2252114,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
201611,203319,208343,277585,328795,18.4,243931,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
20341,23654,26377,41536,52945,27.5,32971,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
