2011,2012,2013r,2014r,2015p,F01,'15/'14,2011-2015,Country_Afghanistan,Country_Bangladesh,Country_Brunei Darussalam,Country_China,Country_Hong Kong,Country_India,Country_Indonesia,Country_Japan,Country_Korea North,Country_Korea South,Country_Macao,Country_Malaysia,Country_Mongolia,Country_Myanmar (Burma),Country_Nepal,Country_Pakistan,Country_Philippines,Country_Singapore,Country_Sri Lanka,Country_Taiwan,Country_Thailand,Country_Timor-Leste.,Country_Top Five Markets,Country_Vietnam,Country_nan,clazz
104127,82702,152846,191738,108000,-1,-43.7,127882,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
-1,111,0,0,-1,-1,-100.0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
-1,-1,-1,15,-1,-1,-100.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
-1,-1,576,508,504,7,-0.7,318,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
-1,-1,63,-1,35,-1,-1.0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1171516,1345995,1288407,1197409,1100971,-1,-8.1,1220860,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11732,23475,32674,11548,38773,322,235.8,23640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
126,13,6819,1019,-1,-80,-100.0,1595,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13447,21049,38525,36901,26735,-38,-27.5,27331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
139716,168884,220091,190174,213562,-1,12.3,186485,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
153713,107549,103722,110053,156930,322,42.6,126393,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
-1,68,10,18,1,-1,-92.8,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
169946,45307,83,62971,124064,41,97.0,80474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
2698366,3442849,3243652,3054282,3291706,-1,7.8,3146171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
296539,174005,114134,227718,232542,-34,2.1,208988,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
40608,66442,16619,12103,36781,550,203.9,34511,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
43729,34413,51548,30328,128468,13,323.6,57697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
49334,28757,19857,15100,37670,70,149.5,30144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
50281,35654,33327,42245,40422,-5,-4.3,40386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
503,-1,53,138,44,-1,-68.2,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
57797,58271,38545,17717,30924,-62,74.5,40651,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
60,-1,-1,-1,-1,-1,-1.0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
936883,1646416,1517298,1328928,1587700,-29,19.5,1403445,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
94852,120363,49129,67247,76934,-49,14.4,81705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
