REF_DATE,UOM_ID,SCALAR_ID,VECTOR,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,GEO_Canada,GEO_nan,DGUID_2016A000011124,DGUID_nan,North American Industry Classification System (NAICS)_Performing arts companies [7111],North American Industry Classification System (NAICS)_nan,"Industry expenditures_Advertising, marketing, promotions, meals and entertainment",Industry expenditures_All other cost and expenses,Industry expenditures_Amortization and depreciation,"Industry expenditures_Business taxes, licences and permits",Industry expenditures_Cost of goods sold,Industry expenditures_Crown charges,Industry expenditures_Financial services,Industry expenditures_Insurance,Industry expenditures_Office and computer related expenses,Industry expenditures_Other non-production-related costs and expenses,Industry expenditures_Professional and business fees,Industry expenditures_Rental and leasing,Industry expenditures_Repair and maintenance,Industry expenditures_Research and development fees,"Industry expenditures_Royalties, franchise fees and memberships","Industry expenditures_Salaries, wages, commissions and benefits",Industry expenditures_Subcontracts,"Industry expenditures_Telephone, Internet and other telecommunication",Industry expenditures_Total operating expense,"Industry expenditures_Travel, meetings and conventions",Industry expenditures_Utilities,Industry expenditures_nan,UOM_Percent,UOM_nan,SCALAR_FACTOR_units,SCALAR_FACTOR_nan,COORDINATE_1.1.1,COORDINATE_1.1.10,COORDINATE_1.1.11,COORDINATE_1.1.12,COORDINATE_1.1.13,COORDINATE_1.1.14,COORDINATE_1.1.15,COORDINATE_1.1.16,COORDINATE_1.1.17,COORDINATE_1.1.18,COORDINATE_1.1.19,COORDINATE_1.1.2,COORDINATE_1.1.20,COORDINATE_1.1.21,COORDINATE_1.1.3,COORDINATE_1.1.4,COORDINATE_1.1.5,COORDINATE_1.1.6,COORDINATE_1.1.7,COORDINATE_1.1.8,COORDINATE_1.1.9,COORDINATE_nan,clazz
2014,239,0,107579071,100.0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2014,239,0,107579072,6.1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
2014,239,0,107579073,28.7,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
2014,239,0,107579074,12.6,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
2014,239,0,107579075,-1.0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
2014,239,0,107579076,6.1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2014,239,0,107579077,1.2,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
2014,239,0,107579078,3.1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
2014,239,0,107579079,0.3,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
2014,239,0,107579080,0.8,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
