data-01,data-02,data-03,valor-01,valor-02,valor-03,valor-04,clazz
4,6,1986,0,6,50,41,0.0
5,6,1986,0,6,73,97,0.0
6,6,1986,0,6,67,40,0.0
9,6,1986,0,6,82,47,0.0
10,6,1986,0,6,70,41,0.0
11,6,1986,0,6,67,40,0.0
12,6,1986,0,6,65,75,0.0
13,6,1986,0,6,61,64,0.0
16,6,1986,0,6,64,93,0.0
17,6,1986,0,6,62,47,0.0
18,6,1986,0,6,63,1,0.0
19,6,1986,0,6,61,64,0.0
20,6,1986,0,6,60,55,0.0
23,6,1986,0,6,61,10,0.0
24,6,1986,0,6,60,27,0.0
25,6,1986,0,6,64,93,0.0
26,6,1986,0,6,64,11,0.0
27,6,1986,0,6,63,1,0.0
30,6,1986,0,6,66,3,0.0
1,7,1986,0,6,66,30,0.0
2,7,1986,0,6,83,1,0.0
3,7,1986,0,7,39,73,0.0
4,7,1986,0,8,31,78,0.0
7,7,1986,0,8,33,15,0.0
8,7,1986,0,8,31,51,0.0
9,7,1986,0,8,44,11,0.0
10,7,1986,0,8,50,96,0.0
11,7,1986,0,8,51,51,0.0
14,7,1986,0,8,51,78,0.0
15,7,1986,0,8,47,67,0.0
16,7,1986,0,8,48,49,0.0
17,7,1986,0,8,48,49,0.0
18,7,1986,0,8,50,14,0.0
21,7,1986,0,8,50,41,0.0
22,7,1986,0,8,52,60,0.0
23,7,1986,0,8,78,90,0.0
24,7,1986,0,8,81,64,0.0
25,7,1986,0,8,84,38,0.0
28,7,1986,0,8,88,49,0.0
29,7,1986,0,8,88,49,0.0
30,7,1986,0,8,87,95,0.0
31,7,1986,0,8,88,49,0.0
1,8,1986,0,8,89,86,0.0
4,8,1986,0,8,93,15,0.0
5,8,1986,0,8,96,71,0.0
6,8,1986,0,9,2,19,0.0
7,8,1986,0,9,36,44,0.0
8,8,1986,0,11,3,56,0.0
11,8,1986,0,12,76,44,0.0
12,8,1986,0,12,65,75,0.0
13,8,1986,0,12,93,15,0.0
14,8,1986,0,12,95,89,0.0
15,8,1986,0,13,20,82,0.0
18,8,1986,0,13,29,32,0.0
19,8,1986,0,13,25,21,0.0
20,8,1986,0,13,23,1,0.0
21,8,1986,0,13,29,4,0.0
22,8,1986,0,13,31,23,0.0
25,8,1986,0,13,30,41,0.0
26,8,1986,0,13,30,14,0.0
27,8,1986,0,13,30,68,0.0
28,8,1986,0,13,29,86,0.0
29,8,1986,0,13,32,60,0.0
1,9,1986,0,13,9,59,0.0
2,9,1986,0,13,11,78,0.0
3,9,1986,0,13,15,62,0.0
4,9,1986,0,13,12,60,0.0
5,9,1986,0,13,13,42,0.0
8,9,1986,0,13,11,51,0.0
9,9,1986,0,13,14,25,0.0
10,9,1986,0,13,13,15,0.0
11,9,1986,0,13,13,15,0.0
12,9,1986,0,13,13,15,0.0
15,9,1986,0,13,13,15,0.0
16,9,1986,0,13,13,15,0.0
17,9,1986,0,13,19,73,0.0
18,9,1986,0,13,21,10,0.0
19,9,1986,0,13,23,56,0.0
22,9,1986,0,13,25,75,0.0
23,9,1986,0,13,29,4,0.0
24,9,1986,0,13,25,48,0.0
25,9,1986,0,13,27,67,0.0
26,9,1986,0,13,26,85,0.0
29,9,1986,0,13,29,4,0.0
30,9,1986,0,13,29,86,0.0
1,10,1986,0,6,66,85,0.0
2,10,1986,0,7,19,45,0.0
3,10,1986,0,7,67,67,0.0
6,10,1986,0,8,33,70,0.0
7,10,1986,0,8,38,36,0.0
8,10,1986,0,8,44,11,0.0
9,10,1986,0,8,60,55,0.0
10,10,1986,0,8,63,56,0.0
13,10,1986,0,8,61,10,0.0
14,10,1986,0,8,61,10,0.0
15,10,1986,0,8,63,1,0.0
16,10,1986,0,8,64,93,0.0
17,10,1986,0,8,61,92,0.0
20,10,1986,0,8,64,11,0.0
21,10,1986,0,8,63,56,0.0
22,10,1986,0,8,63,56,0.0
23,10,1986,0,8,63,1,0.0
24,10,1986,0,8,63,1,0.0
27,10,1986,0,8,63,56,0.0
28,10,1986,0,8,64,38,0.0
29,10,1986,0,8,63,84,0.0
