REF_DATE,DGUID1,DGUID3,UOM1,UOM2,SCALAR_FACTOR,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,GEO_Alberta,GEO_British Columbia,GEO_Canada,GEO_Manitoba,GEO_New Brunswick,GEO_Newfoundland and Labrador,GEO_Northwest Territories,GEO_Nova Scotia,GEO_Nunavut,GEO_Ontario,GEO_Prince Edward Island,GEO_Quebec,GEO_Saskatchewan,GEO_Yukon,GEO_nan,DGUID2_A,DGUID2_nan,Characteristics_Age-Specific,Characteristics_nan,UOM_ID_Rate,UOM_ID_nan,SCALAR_ID_units,SCALAR_ID_nan,clazz
2000,2016,11124,0,20,262,0,29497217,1.2,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,11124,20,24,262,0,29497218,1.3,20.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,11124,25,29,262,0,29497219,1.4,42.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,11124,30,34,262,0,29497220,1.5,24.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,11124,35,39,262,0,29497221,1.6,9.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,11124,40,44,262,0,29497222,1.7,3.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,11124,45,49,262,0,29497223,1.8,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,210,0,20,262,0,29497225,2.2,0.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,210,20,24,262,0,29497226,2.3,21.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,210,25,29,262,0,29497227,2.4,68.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,210,30,34,262,0,29497228,2.5,36.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,210,35,39,262,0,29497229,2.6,11.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,210,40,44,262,0,29497230,2.7,3.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,210,45,49,262,0,29497231,2.8,0.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,211,0,20,262,0,29497233,3.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,211,20,24,262,0,29497234,3.3,29.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,211,25,29,262,0,29497235,3.4,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,211,30,34,262,0,29497236,3.5,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,211,35,39,262,0,29497237,3.6,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,211,40,44,262,0,29497238,3.7,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,211,45,49,262,0,29497239,3.8,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,212,0,20,262,0,29497241,4.2,0.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,212,20,24,262,0,29497242,4.3,22.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,212,25,29,262,0,29497243,4.4,54.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,212,30,34,262,0,29497244,4.5,29.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,212,35,39,262,0,29497245,4.6,11.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,212,40,44,262,0,29497246,4.7,4.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,212,45,49,262,0,29497247,4.8,1.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,213,0,20,262,0,29497249,5.2,1.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,213,20,24,262,0,29497250,5.3,25.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,213,25,29,262,0,29497251,5.4,53.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,213,30,34,262,0,29497252,5.5,26.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,213,35,39,262,0,29497253,5.6,9.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,213,40,44,262,0,29497254,5.7,3.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,213,45,49,262,0,29497255,5.8,1.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,224,0,20,262,0,29497257,6.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,224,20,24,262,0,29497258,6.3,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,224,25,29,262,0,29497259,6.4,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,224,30,34,262,0,29497260,6.5,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,224,35,39,262,0,29497261,6.6,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,224,40,44,262,0,29497262,6.7,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,224,45,49,262,0,29497263,6.8,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,235,0,20,262,0,29497265,7.2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,235,20,24,262,0,29497266,7.3,21.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,235,25,29,262,0,29497267,7.4,48.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,235,30,34,262,0,29497268,7.5,26.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,235,35,39,262,0,29497269,7.6,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,235,40,44,262,0,29497270,7.7,3.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2000,2016,235,45,49,262,0,29497271,7.8,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
