REF_DATE,DGUID,UOM_ID,SCALAR_ID,VECTOR,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,GEO_A,GEO_nan,Type of spouse_Husband,Type of spouse_Wife,Type of spouse_nan,Marital status just prior to marriage_Marital status just prior to marriage,Marital status just prior to marriage_nan,Characteristics_ divorced,Characteristics_ single,Characteristics_ unknown,Characteristics_ widowed,Characteristics_nan,UOM1_Number of divorces,UOM1_Percentage of divorces,UOM1_nan,UOM2_Number,UOM2_Percent,UOM2_nan,SCALAR_FACTOR_units,SCALAR_FACTOR_nan,COORDINATE_1.1.2.1,COORDINATE_1.1.2.2,COORDINATE_1.1.3.1,COORDINATE_1.1.3.2,COORDINATE_1.1.4.1,COORDINATE_1.1.4.2,COORDINATE_1.1.5.1,COORDINATE_1.1.5.2,COORDINATE_1.2.2.1,COORDINATE_1.2.2.2,COORDINATE_1.2.3.1,COORDINATE_1.2.3.2,COORDINATE_1.2.4.1,COORDINATE_1.2.4.2,COORDINATE_1.2.5.1,COORDINATE_1.2.5.2,COORDINATE_10.1.2.1,COORDINATE_10.1.2.2,COORDINATE_10.1.3.1,COORDINATE_10.1.3.2,COORDINATE_10.1.4.1,COORDINATE_10.1.4.2,COORDINATE_10.1.5.1,COORDINATE_10.1.5.2,COORDINATE_10.2.2.1,COORDINATE_10.2.2.2,COORDINATE_10.2.3.1,COORDINATE_10.2.3.2,COORDINATE_10.2.4.1,COORDINATE_10.2.4.2,COORDINATE_10.2.5.1,COORDINATE_10.2.5.2,COORDINATE_11.1.2.1,COORDINATE_11.1.2.2,COORDINATE_11.1.3.1,COORDINATE_11.1.3.2,COORDINATE_11.1.4.1,COORDINATE_11.1.4.2,COORDINATE_11.1.5.1,COORDINATE_11.1.5.2,COORDINATE_11.2.2.1,COORDINATE_11.2.2.2,COORDINATE_11.2.3.1,COORDINATE_11.2.3.2,COORDINATE_11.2.4.1,COORDINATE_11.2.4.2,COORDINATE_11.2.5.1,COORDINATE_11.2.5.2,COORDINATE_12.1.2.1,COORDINATE_12.1.2.2,COORDINATE_12.1.3.1,COORDINATE_12.1.3.2,COORDINATE_12.1.4.1,COORDINATE_12.1.4.2,COORDINATE_12.1.5.1,COORDINATE_12.1.5.2,COORDINATE_12.2.2.1,COORDINATE_12.2.2.2,COORDINATE_12.2.3.1,COORDINATE_12.2.3.2,COORDINATE_12.2.4.1,COORDINATE_12.2.4.2,COORDINATE_12.2.5.1,COORDINATE_12.2.5.2,COORDINATE_14.1.2.1,COORDINATE_14.1.2.2,COORDINATE_14.1.3.1,COORDINATE_14.1.3.2,COORDINATE_14.1.4.1,COORDINATE_14.1.4.2,COORDINATE_14.1.5.1,COORDINATE_14.1.5.2,COORDINATE_14.2.2.1,COORDINATE_14.2.2.2,COORDINATE_14.2.3.1,COORDINATE_14.2.3.2,COORDINATE_14.2.4.1,COORDINATE_14.2.4.2,COORDINATE_14.2.5.1,COORDINATE_14.2.5.2,COORDINATE_15.1.2.1,COORDINATE_15.1.2.2,COORDINATE_15.1.3.1,COORDINATE_15.1.3.2,COORDINATE_15.1.4.1,COORDINATE_15.1.4.2,COORDINATE_15.1.5.1,COORDINATE_15.1.5.2,COORDINATE_15.2.2.1,COORDINATE_15.2.2.2,COORDINATE_15.2.3.1,COORDINATE_15.2.3.2,COORDINATE_15.2.4.1,COORDINATE_15.2.4.2,COORDINATE_15.2.5.1,COORDINATE_15.2.5.2,COORDINATE_2.1.2.1,COORDINATE_2.1.2.2,COORDINATE_2.1.3.1,COORDINATE_2.1.3.2,COORDINATE_2.1.4.1,COORDINATE_2.1.4.2,COORDINATE_2.1.5.1,COORDINATE_2.1.5.2,COORDINATE_2.2.2.1,COORDINATE_2.2.2.2,COORDINATE_2.2.3.1,COORDINATE_2.2.3.2,COORDINATE_2.2.4.1,COORDINATE_2.2.4.2,COORDINATE_2.2.5.1,COORDINATE_2.2.5.2,COORDINATE_3.1.2.1,COORDINATE_3.1.2.2,COORDINATE_3.1.3.1,COORDINATE_3.1.3.2,COORDINATE_3.1.4.1,COORDINATE_3.1.4.2,COORDINATE_3.1.5.1,COORDINATE_3.1.5.2,COORDINATE_3.2.2.1,COORDINATE_3.2.2.2,COORDINATE_3.2.3.1,COORDINATE_3.2.3.2,COORDINATE_3.2.4.1,COORDINATE_3.2.4.2,COORDINATE_3.2.5.1,COORDINATE_3.2.5.2,COORDINATE_4.1.2.1,COORDINATE_4.1.2.2,COORDINATE_4.1.3.1,COORDINATE_4.1.3.2,COORDINATE_4.1.4.1,COORDINATE_4.1.4.2,COORDINATE_4.1.5.1,COORDINATE_4.1.5.2,COORDINATE_4.2.2.1,COORDINATE_4.2.2.2,COORDINATE_4.2.3.1,COORDINATE_4.2.3.2,COORDINATE_4.2.4.1,COORDINATE_4.2.4.2,COORDINATE_4.2.5.1,COORDINATE_4.2.5.2,COORDINATE_5.1.2.1,COORDINATE_5.1.2.2,COORDINATE_5.1.3.1,COORDINATE_5.1.3.2,COORDINATE_5.1.4.1,COORDINATE_5.1.4.2,COORDINATE_5.1.5.1,COORDINATE_5.1.5.2,COORDINATE_5.2.2.1,COORDINATE_5.2.2.2,COORDINATE_5.2.3.1,COORDINATE_5.2.3.2,COORDINATE_5.2.4.1,COORDINATE_5.2.4.2,COORDINATE_5.2.5.1,COORDINATE_5.2.5.2,COORDINATE_6.1.2.1,COORDINATE_6.1.2.2,COORDINATE_6.1.3.1,COORDINATE_6.1.3.2,COORDINATE_6.1.4.1,COORDINATE_6.1.4.2,COORDINATE_6.1.5.1,COORDINATE_6.1.5.2,COORDINATE_6.2.2.1,COORDINATE_6.2.2.2,COORDINATE_6.2.3.1,COORDINATE_6.2.3.2,COORDINATE_6.2.4.1,COORDINATE_6.2.4.2,COORDINATE_6.2.5.1,COORDINATE_6.2.5.2,COORDINATE_7.1.2.1,COORDINATE_7.1.2.2,COORDINATE_7.1.3.1,COORDINATE_7.1.3.2,COORDINATE_7.1.4.1,COORDINATE_7.1.4.2,COORDINATE_7.1.5.1,COORDINATE_7.1.5.2,COORDINATE_7.2.2.1,COORDINATE_7.2.2.2,COORDINATE_7.2.3.1,COORDINATE_7.2.3.2,COORDINATE_7.2.4.1,COORDINATE_7.2.4.2,COORDINATE_7.2.5.1,COORDINATE_7.2.5.2,COORDINATE_8.1.2.1,COORDINATE_8.1.2.2,COORDINATE_8.1.3.1,COORDINATE_8.1.3.2,COORDINATE_8.1.4.1,COORDINATE_8.1.4.2,COORDINATE_8.1.5.1,COORDINATE_8.1.5.2,COORDINATE_8.2.2.1,COORDINATE_8.2.2.2,COORDINATE_8.2.3.1,COORDINATE_8.2.3.2,COORDINATE_8.2.4.1,COORDINATE_8.2.4.2,COORDINATE_8.2.5.1,COORDINATE_8.2.5.2,COORDINATE_9.1.2.1,COORDINATE_9.1.2.2,COORDINATE_9.1.3.1,COORDINATE_9.1.3.2,COORDINATE_9.1.4.1,COORDINATE_9.1.4.2,COORDINATE_9.1.5.1,COORDINATE_9.1.5.2,COORDINATE_9.2.2.1,COORDINATE_9.2.2.2,COORDINATE_9.2.3.1,COORDINATE_9.2.3.2,COORDINATE_9.2.4.1,COORDINATE_9.2.4.2,COORDINATE_9.2.5.1,COORDINATE_9.2.5.2,COORDINATE_nan,clazz
2016,11124,223,0,42140567,57646.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2016,11124,223,0,42140567,59153.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2016,11124,223,0,42140569,510.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2016,11124,223,0,42140569,569.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2016,11124,223,0,42140571,11425.0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2016,11124,223,0,42140571,11601.0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2016,11124,223,0,42140573,4.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2016,11124,223,0,42140573,5.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2016,11124,223,0,42140577,57660.0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2016,11124,223,0,42140577,59025.0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
