2010,2020,2030,clazz
247513.0,273359.0,240871.0,0
196516.0,196376.0,201828.0,0
97831.1,113271.0,114454.0,0
92296.9,79687.7,77847.1,0
70418.8,59274.0,55973.2,0
33636.9,38203.9,36116.0,0
113214.0,126143.0,130836.0,0
103577.0,99923.4,100557.0,0
171017.0,169730.0,168724.0,0
77439.6,70242.7,67770.3,0
167661.0,184041.0,186487.0,0
130039.0,141245.0,115629.0,0
36732.9,43069.4,43641.1,0
62634.2,65590.8,65575.1,0
27167.4,26683.7,25823.3,0
28993.9,27274.0,25841.1,0
70324.1,63112.5,62759.5,0
73798.3,78327.6,77079.3,0
201435.0,197231.0,203470.0,0
196241.0,213960.0,192925.0,0
169165.0,138700.0,135510.0,0
42544.7,42803.2,43690.4,0
105055.0,84998.1,77780.2,0
120646.0,109796.0,106436.0,0
269231.0,231402.0,201681.0,0
128248.0,140108.0,117313.0,0
394692.0,428641.0,350923.0,0
33171.6,29802.3,29110.6,0
78762.6,85656.6,82595.1,0
200104.0,124924.0,67899.5,0
32459.2,32105.7,33247.8,0
319181.0,299387.0,252245.0,0
144974.0,141662.0,152509.0,0
252905.0,245286.0,233415.0,0
125886.0,117591.0,105789.0,0
10234.4,9893.0,10190.9,0
186614.0,172321.0,149740.0,0
98816.5,90602.4,93109.3,0
134047.0,112354.0,104954.0,0
29243.4,27676.4,28739.9,0
66321.3,79975.5,85328.6,0
418369.0,428097.0,426794.0,0
137156.0,148796.0,123576.0,0
67295.5,57584.0,57199.5,0
32943.0,32966.9,32089.5,0
24071.4,21676.9,20452.4,0
139073.0,125495.0,128222.0,0
59631.7,51771.3,48467.9,0
83873.0,74592.7,70488.5,0
78151.5,77684.1,76675.0,0
68440.4,64501.5,62199.5,0
58318.2,52867.6,49942.6,0
85972.2,79320.4,78455.6,0
55449.9,44778.1,44874.6,0
353797.0,245320.0,185913.0,0
372607.0,336170.0,316465.0,0
206435.0,229040.0,206117.0,0
66655.2,52810.6,49365.5,0
507807.0,544771.0,460300.0,0
70654.9,81416.8,81651.5,0
76860.1,82786.0,83447.4,0
200048.0,185982.0,188841.0,0
24398.8,22354.3,21386.1,0
147219.0,141410.0,147000.0,0
1242280.0,1211620.0,1220530.0,0
561236.0,558795.0,597223.0,0
122230.0,119268.0,104508.0,0
26313.6,26758.3,28139.8,0
76633.2,73565.6,71885.4,0
217514.0,219356.0,238214.0,0
135254.0,133438.0,143835.0,0
92767.7,92955.9,81990.6,0
28303.0,25297.0,25533.4,0
102049.0,94147.2,94198.6,0
66513.6,55286.7,53586.0,0
19869.1,20127.5,18997.4,0
519252.0,300285.0,134899.0,0
159900.0,153205.0,152330.0,0
45874.6,40868.9,38789.3,0
108697.0,109782.0,98939.5,0
137642.0,118009.0,108989.0,0
78330.1,70565.9,71327.2,0
472805.0,426317.0,419804.0,0
103569.0,86040.2,86199.4,0
100151.0,87003.7,56273.3,0
62665.0,55724.0,52496.6,0
24965.1,25562.2,23237.6,0
28182.7,29491.4,27365.1,0
92364.4,59706.9,50761.7,0
339517.0,327148.0,325112.0,0
237017.0,220232.0,206853.0,0
156725.0,123860.0,108266.0,0
66668.8,59726.7,56720.0,0
223882.0,142992.0,91838.8,0
69831.0,69155.6,71626.4,0
157976.0,143578.0,111925.0,0
111265.0,101725.0,104961.0,0
140921.0,105970.0,88823.0,0
29107.2,25707.2,25885.4,0
73538.7,77221.8,76929.9,0
100547.0,93136.2,72629.9,0
160776.0,123802.0,119867.0,0
38758.8,33975.6,32799.6,0
126123.0,128970.0,129099.0,0
361884.0,393496.0,345314.0,0
258716.0,198018.0,62690.5,0
222087.0,236110.0,222416.0,0
132137.0,111373.0,100614.0,0
51387.3,52989.1,55714.3,0
52386.3,67413.7,76348.4,0
206857.0,169378.0,164724.0,0
87151.0,86284.6,83580.4,0
77952.1,64904.1,61425.2,0
241047.0,238096.0,234889.0,0
34014.3,35404.1,33218.0,0
50083.6,45132.5,42817.4,0
355035.0,352439.0,378919.0,0
26266.6,22349.0,22370.6,0
65291.7,58669.4,56864.4,0
74785.2,72934.3,72474.7,0
164290.0,145602.0,142759.0,0
100489.0,101382.0,96515.4,0
203416.0,175645.0,160420.0,0
47268.0,43630.1,43940.3,0
101284.0,85984.7,86831.3,0
64835.4,64885.5,66498.6,0
151204.0,152553.0,144495.0,0
52636.6,53670.7,53201.1,0
64776.4,65820.2,63299.6,0
260698.0,250904.0,248030.0,0
59158.3,52986.4,49897.3,0
88104.0,76615.6,49208.1,0
76116.3,68529.0,71374.1,0
57472.4,57678.6,55703.1,0
121625.0,102732.0,102346.0,0
206928.0,195623.0,159710.0,0
23803.5,22046.0,22157.7,0
102320.0,102643.0,101107.0,0
306050.0,294884.0,295173.0,0
128166.0,129216.0,138395.0,0
305904.0,286069.0,278007.0,0
57582.6,53936.8,51167.3,0
66151.8,60845.9,58359.3,0
65946.3,59680.8,58885.0,0
247408.0,241008.0,226752.0,0
26989.0,27595.9,28413.6,0
64318.5,48704.1,45678.8,0
172752.0,171780.0,170561.0,0
137071.0,119295.0,114222.0,0
68491.5,62584.6,68476.5,0
262189.0,176412.0,103279.0,0
21985.2,21823.2,20157.1,0
26403.0,26412.1,26232.0,0
151639.0,140877.0,136048.0,0
174164.0,168488.0,171960.0,0
180952.0,150188.0,134375.0,0
316286.0,231691.0,199022.0,0
245115.0,216578.0,206938.0,0
34794.5,31909.2,32261.1,0
252210.0,212446.0,198825.0,0
117347.0,116141.0,115713.0,0
342258.0,353419.0,350824.0,0
112757.0,111711.0,116156.0,0
213973.0,136221.0,73093.6,0
390963.0,398913.0,394517.0,0
534258.0,544020.0,567734.0,0
134269.0,155043.0,138705.0,0
114006.0,110406.0,109327.0,0
270449.0,246447.0,236685.0,0
130705.0,119408.0,108013.0,0
331733.0,269333.0,206770.0,0
93335.6,81604.1,78718.1,0
231646.0,271212.0,238872.0,0
554683.0,492536.0,479151.0,0
284126.0,258702.0,229048.0,0
277464.0,231128.0,188343.0,0
26660.3,25344.9,23331.2,0
58612.2,54414.4,48437.4,0
263602.0,240423.0,236050.0,0
84200.0,78600.8,76149.2,0
88438.6,81203.5,76285.4,0
40001.2,39530.8,36739.7,0
13093.3,13282.5,12861.2,0
457584.0,471459.0,457114.0,0
143475.0,133801.0,126398.0,0
169065.0,159394.0,156970.0,0
742056.0,714084.0,691987.0,0
85494.8,78315.8,74520.8,0
52247.6,52917.4,51169.1,0
467859.0,467795.0,462097.0,0
229207.0,168602.0,118726.0,0
425675.0,349108.0,282233.0,0
48766.4,48342.6,48315.6,0
166767.0,140644.0,116287.0,0
51724.6,47658.0,44740.4,0
103773.0,95469.1,91394.4,0
414665.0,421212.0,385836.0,0
204839.0,181988.0,168461.0,0
118197.0,111414.0,107382.0,0
50287.8,47685.0,46453.3,0
484401.0,402006.0,382292.0,0
182638.0,154158.0,138947.0,0
672531.0,669493.0,641207.0,0
204653.0,162130.0,118938.0,0
106314.0,96591.6,93887.9,0
702293.0,551640.0,418308.0,0
21195.5,20595.0,18722.3,0
101484.0,93983.8,85118.3,0
578111.0,462835.0,363163.0,0
320378.0,161223.0,147946.0,0
106522.0,98309.0,92120.0,0
164674.0,137692.0,112063.0,0
286706.0,252157.0,235175.0,0
107173.0,98342.9,97761.9,0
108538.0,89402.7,89842.6,0
595433.0,533869.0,526708.0,0
157197.0,144511.0,140162.0,0
78900.0,67827.4,57786.9,0
123285.0,110938.0,105870.0,0
19070.2,18876.4,18082.9,0
97686.8,88938.3,82553.9,0
38778.4,32307.2,31560.1,0
52320.8,49090.5,45015.4,0
174162.0,135770.0,94384.5,0
128431.0,118997.0,114270.0,0
353954.0,294103.0,244932.0,0
227955.0,216521.0,201798.0,0
117158.0,107040.0,100595.0,0
108774.0,105661.0,109163.0,0
455759.0,410596.0,386809.0,0
78529.6,73455.3,69136.5,0
174705.0,169014.0,165613.0,0
52840.0,50093.3,46995.2,0
74094.7,73665.1,72327.3,0
171688.0,145056.0,119741.0,0
5004.19,5193.9,4984.21,0
266717.0,240398.0,236576.0,0
133899.0,107203.0,105230.0,0
368038.0,347400.0,334528.0,0
51064.7,50425.2,51747.7,0
97809.3,85980.1,78851.7,0
371218.0,351857.0,351824.0,0
220710.0,195706.0,178273.0,0
173232.0,171886.0,166629.0,0
87053.6,73425.4,66216.0,0
58809.4,54249.3,50617.9,0
390460.0,307380.0,227634.0,0
138407.0,108988.0,92971.5,0
364281.0,371780.0,350616.0,0
27018.8,24834.0,23213.8,0
150272.0,139779.0,138836.0,0
701311.0,664806.0,660276.0,0
66640.2,62316.5,54316.7,0
146751.0,116719.0,86550.8,0
106261.0,101396.0,97891.8,0
