2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,unit_THS_T,unit_nan,airpol_CH4,airpol_CO2,airpol_N2,airpol_NOX,airpol_SO2,airpol_nan,airsect_1,airsect_TOT_X_5,airsect_nan,geo\time_EG,geo\time_IL,geo\time_JO,geo\time_PS,geo\time_TN,geo\time_nan,clazz
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2886.7,2742.9,2202.8,2088.5,2058.1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0
347531.0,345398.4,338555.8,337858.9,331648.3,330248.1,320373.1,319792.2,304260.3,298480.0,287926.4,277169.5,263378.2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0
44.2,44.2,42.8,40.5,38.5,38.5,38.2,35.7,34.0,33.9,33.6,33.4,15.1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60200.0,-1.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
63704.3,64005.3,65165.4,62767.8,65256.3,71195.3,66025.8,64407.9,62933.7,65396.9,65686.6,62959.0,61993.7,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22369.0,21387.7,20712.4,20766.9,20792.0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
3315.9,3286.1,3049.4,3211.9,2330.5,2090.3,1930.9,2080.1,1809.6,1404.9,1510.3,1541.4,2991.7,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26103.0,25645.0,25475.0,25097.0,23712.0,23356.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,200000.0,190300.0,184600.0,144700.0,142600.0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0
65637.8,65930.1,67400.9,65047.4,67294.5,73293.1,68029.9,66173.2,64529.6,67398.7,67741.6,64997.2,63947.8,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0
3284.3,3254.5,3013.4,3180.3,2294.7,2059.3,1900.2,2049.7,1779.2,1374.4,1479.6,1510.6,2583.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,127.1,121.0,97.0,91.9,90.6,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.0
5752.5,7269.0,7416.9,7545.2,7222.1,7301.5,6231.4,7797.3,7632.9,8399.9,8894.7,8282.4,8213.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.0
1.8,1.5,1.9,1.9,1.6,1.7,1.7,1.5,1.7,1.7,1.7,1.7,8.4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0
100315.5,108166.7,124481.7,129530.8,150629.7,182685.0,161475.0,167294.2,171637.4,188240.3,196244.4,195353.4,200471.7,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.0
-1.0,311.0,459.0,248.0,308.0,328.0,508.0,470.0,551.0,559.0,533.0,-1.0,-1.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.0
86488.4,103702.6,120290.7,117549.8,139037.3,169708.9,160946.3,153261.1,162526.0,176262.0,186181.9,190535.4,205996.3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0
