1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,TARGET ,indic_eu_T2020_30,indic_eu_nan,geo\time_AT,geo\time_BE,geo\time_BG,geo\time_CH,geo\time_CY,geo\time_CZ,geo\time_DE,geo\time_DK,geo\time_EE,geo\time_EL,geo\time_ES,geo\time_EU27_2007,geo\time_EU27_2020,geo\time_EU28,geo\time_FI,geo\time_FR,geo\time_HR,geo\time_HU,geo\time_IE,geo\time_IS,geo\time_IT,geo\time_LI,geo\time_LT,geo\time_LU,geo\time_LV,geo\time_MT,geo\time_NL,geo\time_NO,geo\time_PL,geo\time_PT,geo\time_RO,geo\time_SE,geo\time_SI,geo\time_SK,geo\time_TR,geo\time_UK,geo\time_nan,clazz
100,104.75,96.5,96.9,97.26,101.68,105.92,105.45,104.68,102.65,103.26,108.1,110.17,117.16,117.0,118.92,116.0,112.78,112.05,103.39,109.19,106.41,102.82,103.25,98.68,101.6,103.05,106.17,102.66,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,101.4,101.14,100.49,103.59,105.26,108.03,102.55,106.33,102.5,103.26,101.89,101.44,101.83,102.34,100.19,98.38,96.17,96.33,87.61,92.63,85.76,83.61,83.48,79.77,82.81,81.96,82.14,82.67,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,81.91,76.65,75.97,72.21,73.68,73.53,70.64,66.67,59.43,58.36,61.41,58.86,63.4,62.49,63.1,63.63,67.42,66.12,57.18,59.74,64.88,59.93,54.78,57.74,60.93,58.52,60.88,57.16,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,103.11,102.95,98.81,97.2,99.17,100.45,98.71,101.75,101.9,101.24,103.42,100.12,101.15,101.82,103.16,102.79,99.97,102.9,100.04,103.28,96.63,99.29,100.75,93.89,93.37,94.33,93.13,91.0,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,110.2,116.94,119.4,123.76,123.94,128.84,130.09,135.85,140.5,144.93,146.31,149.39,156.52,158.48,159.6,162.99,168.15,171.0,166.42,161.52,156.65,147.73,135.68,141.56,142.01,151.0,155.75,153.81,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,90.72,87.48,83.6,79.86,79.42,80.86,78.59,75.53,70.68,75.77,75.78,73.85,75.53,76.16,75.13,75.76,76.68,74.28,69.75,71.07,70.28,68.14,65.46,64.41,65.13,66.06,65.56,64.82,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,96.25,92.36,91.73,90.27,90.08,91.57,88.83,86.87,84.31,84.26,85.42,83.73,83.57,82.33,80.56,81.24,79.2,79.44,74.05,76.64,74.73,75.25,76.68,73.49,73.8,74.17,73.22,70.44,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,114.57,106.4,109.52,115.09,110.99,129.17,116.07,110.72,107.41,101.37,103.59,102.47,109.45,101.42,95.48,106.07,99.77,94.84,90.58,90.89,83.78,77.52,79.88,74.35,70.66,73.74,70.67,70.69,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,92.28,67.34,52.64,54.34,49.92,51.61,50.74,46.96,43.71,42.86,43.76,42.4,47.13,48.04,47.42,45.67,54.98,49.72,41.18,52.3,52.48,49.89,54.46,52.5,45.22,48.98,52.26,49.98,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,99.73,100.99,100.75,103.81,105.85,108.71,113.27,118.67,119.12,121.96,122.79,122.8,127.01,127.74,131.44,127.92,130.56,127.41,120.39,114.48,111.82,108.44,99.42,96.53,92.98,89.74,93.62,90.84,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
