F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,clazz
0.261,0.322,0.395,0.47700000000000004,0.349,0.43799999999999994,0.359,0.38799999999999996,0.195,0.258,0.08900000000000001,0.204,0.21100000000000002,0.22399999999999998,0.040999999999999995,0.18100000000000002,0.36700000000000005,0.314,0.467,0.44299999999999995,0.43,0.5660000000000001,0.33,0.313,0.319,0.392,0.0
0.48,0.4,0.344,0.46399999999999997,0.451,0.461,0.473,0.485,0.28800000000000003,0.40299999999999997,0.141,0.25,0.341,0.282,0.127,0.429,0.397,0.518,0.47700000000000004,0.516,0.517,0.4,0.44299999999999995,0.355,0.408,0.441,0.0
0.259,0.278,0.261,0.059000000000000004,0.2,0.10099999999999999,0.168,0.127,0.517,0.33899999999999997,0.77,0.546,0.44799999999999995,0.495,0.8320000000000001,0.391,0.23600000000000002,0.16699999999999998,0.055999999999999994,0.040999999999999995,0.053,0.034,0.22699999999999998,0.332,0.273,0.16699999999999998,0.0
0.6970000000000001,0.8759999999999999,0.877,0.664,0.863,0.75,0.778,0.875,0.899,0.867,0.818,0.784,0.755,0.915,0.8220000000000001,0.877,0.8220000000000001,0.753,0.6459999999999999,0.8140000000000001,0.845,0.6629999999999999,-999.0,-999.0,-999.0,-999.0,0.0
0.179,0.07200000000000001,0.064,0.161,0.086,0.11800000000000001,0.12,0.077,0.057999999999999996,0.10099999999999999,0.12,0.127,0.147,0.046,0.128,0.078,0.105,0.141,0.183,0.096,0.09300000000000001,0.17300000000000001,-999.0,-999.0,-999.0,-999.0,0.0
0.022000000000000002,0.012,0.006999999999999999,0.032,0.013000000000000001,0.015,0.008,0.011000000000000001,0.011000000000000001,0.001,0.015,0.025,0.022000000000000002,0.001,0.013999999999999999,0.01,0.011000000000000001,0.016,0.025,0.013000000000000001,0.006999999999999999,0.038,-999.0,-999.0,-999.0,-999.0,0.0
0.027999999999999997,0.0,0.001,0.0,0.008,0.018000000000000002,0.02,0.0,0.0,0.002,0.012,0.018000000000000002,0.009000000000000001,0.0,0.003,0.008,0.012,0.01,0.0,0.027999999999999997,0.0,0.005,-999.0,-999.0,-999.0,-999.0,0.0
0.061,0.03,0.040999999999999995,0.096,0.023,0.08199999999999999,0.066,0.032,0.021,0.01,0.023,0.033,0.053,0.017,0.027000000000000003,0.016,0.032,0.068,0.13699999999999998,0.039,0.05,0.10400000000000001,-999.0,-999.0,-999.0,-999.0,0.0
0.013000000000000001,0.01,0.011000000000000001,0.047,0.006,0.017,0.008,0.004,0.011000000000000001,0.018000000000000002,0.011000000000000001,0.013999999999999999,0.013999999999999999,0.021,0.006999999999999999,0.011000000000000001,0.018000000000000002,0.011000000000000001,0.008,0.01,0.004,0.018000000000000002,-999.0,-999.0,-999.0,-999.0,0.0
0.556,0.198,0.12,0.15,0.24,0.29100000000000004,0.342,0.239,0.276,0.163,0.237,0.23600000000000002,0.345,0.257,0.29100000000000004,0.251,0.249,0.32899999999999996,0.11199999999999999,0.245,0.281,0.365,0.175,0.191,0.28800000000000003,0.37,0.0
