F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,clazz
0.239,0.284,0.42700000000000005,0.49,0.349,0.267,0.377,0.298,0.251,0.228,0.127,0.26,0.35200000000000004,0.231,0.05,0.23,0.29100000000000004,0.41,0.45299999999999996,0.377,0.474,0.603,0.32,0.267,0.3,0.45399999999999996,0.0
0.41600000000000004,0.39,0.324,0.413,0.449,0.382,0.48200000000000004,0.469,0.33299999999999996,0.37,0.217,0.35,0.36200000000000004,0.272,0.153,0.405,0.47,0.49200000000000005,0.457,0.529,0.49200000000000005,0.33899999999999997,0.371,0.32799999999999996,0.384,0.406,0.0
0.345,0.326,0.25,0.09699999999999999,0.20199999999999999,0.35100000000000003,0.141,0.233,0.41600000000000004,0.40299999999999997,0.655,0.39,0.28600000000000003,0.49700000000000005,0.797,0.366,0.23800000000000002,0.098,0.09,0.094,0.034,0.057999999999999996,0.308,0.405,0.316,0.139,0.0
0.66,0.838,0.84,0.5429999999999999,0.809,0.777,0.715,0.902,0.861,0.828,0.797,0.8320000000000001,0.715,0.907,0.833,0.8370000000000001,0.821,0.6990000000000001,0.49,0.767,0.847,0.637,-999.0,-999.0,-999.0,-999.0,0.0
0.212,0.10099999999999999,0.083,0.18100000000000002,0.113,0.128,0.171,0.071,0.076,0.133,0.155,0.109,0.14,0.075,0.11599999999999999,0.106,0.10800000000000001,0.171,0.247,0.163,0.11900000000000001,0.185,-999.0,-999.0,-999.0,-999.0,0.0
0.023,0.006999999999999999,0.006999999999999999,0.019,0.015,0.001,0.017,0.011000000000000001,0.013999999999999999,0.004,0.006,0.005,0.023,0.009000000000000001,0.006999999999999999,0.008,0.017,0.017,0.0,0.012,0.013000000000000001,0.018000000000000002,-999.0,-999.0,-999.0,-999.0,0.0
0.034,0.001,0.0,0.016,0.016,0.0,0.011000000000000001,0.0,0.031,0.003,0.008,0.011000000000000001,0.013999999999999999,0.0,0.008,0.012,0.018000000000000002,0.019,0.042,0.011000000000000001,0.0,0.001,-999.0,-999.0,-999.0,-999.0,0.0
0.057,0.040999999999999995,0.057999999999999996,0.182,0.036000000000000004,0.094,0.075,0.016,0.013999999999999999,0.02,0.024,0.027999999999999997,0.091,0.009000000000000001,0.02,0.027999999999999997,0.027999999999999997,0.081,0.18100000000000002,0.036000000000000004,0.017,0.138,-999.0,-999.0,-999.0,-999.0,0.0
0.013999999999999999,0.012,0.011000000000000001,0.059000000000000004,0.01,0.0,0.011000000000000001,0.0,0.004,0.013999999999999999,0.009000000000000001,0.015,0.016,0.0,0.016,0.009000000000000001,0.009000000000000001,0.013000000000000001,0.04,0.012,0.003,0.021,-999.0,-999.0,-999.0,-999.0,0.0
0.589,0.23600000000000002,0.14800000000000002,0.124,0.297,0.33,0.38799999999999996,0.27,0.315,0.177,0.245,0.263,0.363,0.247,0.257,0.27,0.289,0.395,0.111,0.256,0.273,0.364,0.231,0.20199999999999999,0.312,0.35,0.0
0.29600000000000004,0.272,0.165,0.14800000000000002,0.22899999999999998,0.22,0.262,0.19699999999999998,0.23199999999999998,0.18,0.24,0.275,0.28300000000000003,0.26899999999999996,0.251,0.231,0.239,0.267,0.124,0.276,0.275,0.24600000000000002,0.21,0.255,0.253,0.2,0.0
0.115,0.49200000000000005,0.6859999999999999,0.728,0.473,0.45,0.35,0.5329999999999999,0.45299999999999996,0.643,0.514,0.46299999999999997,0.354,0.484,0.49200000000000005,0.499,0.47200000000000003,0.33899999999999997,0.765,0.46799999999999997,0.452,0.39,0.56,0.5429999999999999,0.435,0.45,0.0
