F001,F002,F003,F004,F005,F007,F008,F009,F010,F012,F013,F014,F015,F017,F018,F019,F020,F022,F023,F024,F025,F027,F028,F029,F030,F031,F006_1001 2764,F006_1025 2598,F006_10356 2512,F006_10536 2598,F006_10699 2765,F006_1088 2764,F006_10932 2512,F006_11161 2617,F006_11323 2765,F006_11640 2764,F006_11959 2598,F006_11965 2682,F006_12665 2682,F006_12676 2764,F006_12811 2764,F006_13121 2682,F006_1314 2598,F006_13355 2765,F006_13458 2764,F006_13719 2765,F006_1446 2598,F006_1481 2598,F006_1565 2765,F006_1608 2617,F006_1687 2598,F006_16999 2682,F006_1774 2617,F006_1803 2765,F006_1996 2598,F006_2149 2764,F006_2408 2598,F006_2785 2598,F006_29983 2682,F006_3011 2764,F006_30761 2512,F006_31214 2598,F006_32317 2512,F006_33802 2617,F006_3778 2682,F006_38530 2765,F006_38693 2682,F006_38780 2682,F006_38864 2765,F006_44297 2598,F006_5798 2765,F006_5823 2512,F006_629 2764,F006_6447 2617,F006_6744 2764,F006_7565 2512,F006_7729 2764,F006_7824 2512,F006_8071 2512,F006_8271 2765,F006_9107 2617,F006_9303 2617,F006_9463 2765,F006_9537 2598,F006_9538 2765,F006_nan,F011_1000 2682,F011_10015 2764,F011_10362 2617,F011_10662 2765,F011_10997 2617,F011_1104 2764,F011_11167 2765,F011_1133 2764,F011_11517 2598,F011_11642 2598,F011_11767 2598,F011_11955 2764,F011_1196 2617,F011_11998 2764,F011_12189 2617,F011_12879 2682,F011_13062 2764,F011_13462 2617,F011_14375 2598,F011_1438 2617,F011_14750 2764,F011_14975 2598,F011_1589 2598,F011_16448 2682,F011_1844 2764,F011_1904 2765,F011_19974 2765,F011_2038 2598,F011_2039 2682,F011_20441 2512,F011_2202 2765,F011_2376 2512,F011_2380 2598,F011_2894 2764,F011_29729 2512,F011_31957 2598,F011_3473 2764,F011_35990 2617,F011_36091 2765,F011_36318 2512,F011_36844 2617,F011_37468 2617,F011_44194 2512,F011_4875 2764,F011_4907 2598,F011_5034 2598,F011_5609 2598,F011_6390 2512,F011_6816 2617,F011_6903 2598,F011_7753,F011_8397 2765,F011_8718 2617,F011_9152 2617,F011_9499 2512,F011_9600 2617,F011_9629 2764,F011_9762 2512,F011_9838 2598,F011_nan,F016_10040 2764,F016_10319 2764,F016_10512 2512,F016_10661 2617,F016_10887 2682,F016_11528 2682,F016_11629 2617,F016_11739 2512,F016_1190 2764,F016_12132 2682,F016_12143 2764,F016_12216 2682,F016_12600 2764,F016_12749 2764,F016_12977 2765,F016_1312 2617,F016_13165 2512,F016_14263 2512,F016_14499 2682,F016_14517 2764,F016_1521 2598,F016_1526 2617,F016_15417 2765,F016_1636 2682,F016_1647 2598,F016_1672 2598,F016_1697 2598,F016_16996 2682,F016_1911 2598,F016_2016 2617,F016_2410 2598,F016_25301 2682,F016_26852 2765,F016_27344 2512,F016_28137 2682,F016_29124 2512,F016_29550 2765,F016_29692 2765,F016_29994 2765,F016_32473 2512,F016_3282 2512,F016_34686 2512,F016_4414 2765,F016_44755 2617,F016_45858 2512,F016_4768 2617,F016_7028 2617,F016_7206 2682,F016_7563 2617,F016_7608 2598,F016_791 2682,F016_8943 2617,F016_9052 2512,F016_9343 2512,F016_9499 2682,F016_9538 2682,F016_9546 2512,F016_984 2682,F016_nan,F021_10025 2765,F021_10050 2512,F021_10209 2598,F021_10391 2617,F021_10664 2598,F021_10696 2682,F021_11720 2764,F021_11724 2617,F021_11981 2765,F021_12436 2512,F021_1281 2682,F021_13782 2598,F021_13856 2598,F021_14461 2682,F021_14677 2598,F021_14793 2682,F021_1504 2617,F021_1519 2682,F021_1555 2617,F021_1560 2764,F021_1576 2617,F021_1600 2598,F021_16088 2764,F021_16149 2765,F021_1670 2765,F021_16856 2598,F021_1711 2512,F021_1797 2682,F021_1869 2598,F021_1892 2617,F021_2055 2598,F021_2082 2764,F021_2092 2682,F021_2120 2682,F021_2334 2512,F021_2623 2598,F021_28066 2765,F021_30091 2512,F021_31637 2682,F021_31889 2512,F021_3569 2598,F021_39187 2512,F021_39812 2617,F021_41209 2617,F021_5621 2598,F021_5919 2765,F021_6012 2617,F021_7065 2512,F021_7176 2682,F021_7491 2617,F021_7775 2765,F021_8496 2512,F021_8713 2617,F021_9078 2764,F021_921 2617,F021_9405 2765,F021_9443 2765,F021_9602 2512,F021_nan,F026_10128 2765,F026_10287 2512,F026_10755 2512,F026_10970 2764,F026_11382 2765,F026_11401 2765,F026_11485 2765,F026_11609 2512,F026_11824 2764,F026_11825 2512,F026_11887 2617,F026_11897 2512,F026_12016 2765,F026_12539 2765,F026_12678 2765,F026_12758 2682,F026_1310 2764,F026_1363 2764,F026_13688 2682,F026_1377 2765,F026_13786 2765,F026_13814 2512,F026_13852 2764,F026_1399 2598,F026_14022 2682,F026_14591 2764,F026_14662 2765,F026_1551 2598,F026_1568 2764,F026_15756 2682,F026_1608 2617,F026_1639 2682,F026_1755 2598,F026_1772 2682,F026_1831 2598,F026_1913 2617,F026_1915 2764,F026_2162 2764,F026_2287 2764,F026_2607 2598,F026_29949 2765,F026_31173 2682,F026_33517 2682,F026_34822 2682,F026_4325 2598,F026_43561 2765,F026_5223 2765,F026_6178 2682,F026_7432 2682,F026_7658 2617,F026_7899 2764,F026_8129 2617,F026_8135 2764,F026_8461 2764,F026_875 2682,F026_8870 2512,F026_9472 2598,F026_9954 2682,F026_nan,clazz
2512,1,16,2015,234,1,16,2015,1079,1.0,17.0,2015.0,974.0,1.0,17.0,2015.0,201.0,1.0,17.0,2015.0,1137.0,1.0,17.0,2015.0,252.0,2160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2512,1,19,2015,168,1,19,2015,706,1.0,20.0,2015.0,944.0,1.0,20.0,2015.0,1151.0,1.0,20.0,2015.0,221.0,1.0,20.0,2015.0,3654.0,26137.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2512,1,27,2015,112,1,27,2015,1619,1.0,28.0,2015.0,3692.0,1.0,28.0,2015.0,1235.0,1.0,28.0,2015.0,286.0,1.0,28.0,2015.0,1356.0,10862.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2512,1,29,2015,250,1,29,2015,1082,1.0,30.0,2015.0,256.0,1.0,30.0,2015.0,1501.0,1.0,30.0,2015.0,1384.0,1.0,30.0,2015.0,4124.0,39110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2512,1,3,2015,173,1,3,2015,3215,1.0,4.0,2015.0,147.0,1.0,4.0,2015.0,812.0,1.0,4.0,2015.0,746.0,1.0,4.0,2015.0,183.0,993.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2512,1,6,2015,218,1,6,2015,933,1.0,7.0,2015.0,1363.0,1.0,7.0,2015.0,1039.0,1.0,7.0,2015.0,3603.0,1.0,7.0,2015.0,248.0,1704.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2512,1,7,2015,217,1,7,2015,974,1.0,8.0,2015.0,262.0,1.0,8.0,2015.0,1070.0,1.0,8.0,2015.0,238.0,1.0,8.0,2015.0,1135.0,10416.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2512,2,13,2015,281,2,13,2015,1216,2.0,14.0,2015.0,4129.0,2.0,14.0,2015.0,236.0,2.0,14.0,2015.0,1111.0,2.0,14.0,2015.0,583.0,6307.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2512,2,15,2015,210,2,15,2015,1003,2.0,16.0,2015.0,934.0,2.0,16.0,2015.0,207.0,2.0,16.0,2015.0,1214.0,2.0,16.0,2015.0,3524.0,33448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2512,2,21,2015,238,2,21,2015,3981,2.0,22.0,2015.0,199.0,2.0,22.0,2015.0,1248.0,2.0,22.0,2015.0,1220.0,2.0,22.0,2015.0,3478.0,30157.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
