day,month,year,value,clazz
1,4,2021,2103,0.0
2,4,2021,1392,0.0
3,4,2021,1297,0.0
4,4,2021,1226,0.0
5,4,2021,1283,0.0
6,4,2021,1944,0.0
7,4,2021,1853,0.0
8,4,2021,1897,0.0
9,4,2021,1746,0.0
10,4,2021,1398,0.0
11,4,2021,1088,0.0
12,4,2021,1888,0.0
13,4,2021,1993,0.0
14,4,2021,2146,0.0
15,4,2021,2240,0.0
16,4,2021,2260,0.0
17,4,2021,1445,0.0
18,4,2021,1317,0.0
19,4,2021,2368,0.0
20,4,2021,2565,0.0
21,4,2021,2405,0.0
22,4,2021,2252,0.0
23,4,2021,2381,0.0
24,4,2021,1475,0.0
25,4,2021,1263,0.0
26,4,2021,2297,0.0
27,4,2021,2345,0.0
28,4,2021,2314,0.0
29,4,2021,2361,0.0
30,4,2021,2325,0.0
