UsersUnique,Date_01-2020,Date_01-2021,Date_02-2020,Date_02-2021,Date_03-2020,Date_03-2021,Date_04-2020,Date_04-2021,Date_05-2020,Date_06-2020,Date_07-2020,Date_08-2020,Date_09-2020,Date_10-2020,Date_11-2020,Date_12-2019,Date_12-2020,Date_nan,clazz
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
242,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1257,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
962,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
875,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
1091,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
1512,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
1580,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
1614,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
1745,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
1799,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
1457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
1476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
1422,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1268,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1217,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1197,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
