geometry/coordinates/0,geometry/coordinates/1,geometry/type_Point,geometry/type_nan,type_Feature,type_nan,properties/popularnamn_A3 Center,properties/popularnamn_Bettnsand,properties/popularnamn_Broparken,properties/popularnamn_Busstationen,properties/popularnamn_Cykelgaraget,properties/popularnamn_Fullmktigesalen,properties/popularnamn_Hamnmagasinet,properties/popularnamn_Hjltarnas hus,properties/popularnamn_Jrnvgstorget,properties/popularnamn_Nolia Fotbollshall,properties/popularnamn_Nolia Friidrottshall,properties/popularnamn_Nolia Ishall,properties/popularnamn_Nolia Tennishall,properties/popularnamn_Norrmjle Camping,properties/popularnamn_Nygatan,properties/popularnamn_Operaplan,properties/popularnamn_Rdhusesplanaden,properties/popularnamn_Rdhusparken,properties/popularnamn_Rdhustorget,properties/popularnamn_Renmarkstorget,properties/popularnamn_Skateparken,properties/popularnamn_Storgatan 7A,properties/popularnamn_Ume Energi Arena,properties/popularnamn_Ume stra,properties/popularnamn_Umelagun,properties/popularnamn_Vallabadet,properties/popularnamn_Vasaplan,properties/popularnamn_Vildmannahallen,properties/popularnamn_nan,clazz
20.2603,63.826409999999996,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
20.26703,63.826209999999996,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
20.34098,63.837030000000006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
20.11608,63.67285,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20.262829999999997,63.838280000000005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
20.29557,63.815419999999996,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20.26826,63.82786,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20.26595,63.82963,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20.26451,63.830119999999994,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20.29372,63.81756,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
20.09306,63.66242,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20.2519,63.82637,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20.26474,63.82679,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
