duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,working-hours,standby-pay,shift-differential,statutory-holidays,cost-of-living-adjustment_-999,cost-of-living-adjustment_none,cost-of-living-adjustment_tc,cost-of-living-adjustment_tcf,cost-of-living-adjustment_nan,pension_-999,pension_empl_contr,pension_none,pension_ret_allw,pension_nan,education-allowance_-999,education-allowance_no,education-allowance_yes,education-allowance_nan,vacation_-999,vacation_average,vacation_below_average,vacation_generous,vacation_nan,longterm-disability-assistance_-999,longterm-disability-assistance_no,longterm-disability-assistance_yes,longterm-disability-assistance_nan,contribution-to-dental-plan_-999,contribution-to-dental-plan_full,contribution-to-dental-plan_half,contribution-to-dental-plan_none,contribution-to-dental-plan_nan,bereavement-assistance_-999,bereavement-assistance_no,bereavement-assistance_yes,bereavement-assistance_nan,contribution-to-health-plan_-999,contribution-to-health-plan_full,contribution-to-health-plan_half,contribution-to-health-plan_none,contribution-to-health-plan_nan,clazz
1,5.0,-999.0,-999.0,40,-999,2,11,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2,4.5,5.8,-999.0,35,-999,-999,11,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
-999,-999.0,-999.0,-999.0,38,-999,5,11,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
3,3.7,4.0,5.0,-999,-999,-999,-999,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
3,4.5,4.5,5.0,40,-999,-999,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
2,2.0,2.5,-999.0,35,-999,6,12,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3,4.0,5.0,5.0,-999,-999,-999,12,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
3,6.9,4.8,2.3,40,-999,3,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2,3.0,7.0,-999.0,38,12,25,11,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1,5.7,-999.0,-999.0,40,-999,4,11,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
3,3.5,4.0,4.6,36,-999,3,13,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,6.4,6.4,-999.0,38,-999,4,15,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
2,3.5,4.0,-999.0,40,-999,2,10,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
3,3.5,4.0,5.1,37,-999,4,13,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
1,3.0,-999.0,-999.0,36,-999,10,11,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2,4.5,4.0,-999.0,37,-999,-999,11,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
1,2.8,-999.0,-999.0,35,-999,2,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1,2.1,-999.0,-999.0,40,2,3,9,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1,2.0,-999.0,-999.0,38,-999,-999,11,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2,4.0,5.0,-999.0,35,13,5,15,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2,4.3,4.4,-999.0,38,-999,4,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
2,2.5,3.0,-999.0,40,-999,-999,11,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
3,3.5,4.0,4.6,27,-999,-999,-999,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2,4.5,4.0,-999.0,40,-999,4,10,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1,6.0,-999.0,-999.0,38,8,3,9,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3,2.0,2.0,2.0,40,-999,-999,10,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
