oz1,oz2,oz3,oz4,oz5,oz6,oz7,oz8,oz9,oz10,oz11,oz12,oz13,oz14,oz15,oz16,oz17,oz18,oz19,oz20,oz21,oz22,oz23,oz24,oz25,oz26,oz27,oz28,oz29,oz30,oz31,oz32,oz33,oz34,oz35,oz36,oz37,oz38,oz39,oz40,oz41,oz42,oz43,oz44,oz45,oz46,oz47,oz48,oz49,oz50,oz51,oz52,oz53,clazz
0.001625,0.996102,0.008029999999999999,0.942999,0.01798,0.983481,0.0,0.879747,0.011754,0.0,0.617503,0.444541,0.4683810000000001,0.221788,0.999353,0.986801,0.302794,1.0,0.8354,0.8725280000000001,0.998349,0.958191,0.944162,0.974697,0.969834,0.707128,0.065035,0.310678,0.183562,0.032804,0.973686,0.005336,0.00474,0.004508,0.181146,0.209146,0.0,0.077877,0.103727,0.261929,0.186778,0.07508200000000001,0.0,0.112778,0.144913,0.228481,0.045610000000000005,0.162287,0.29004800000000003,0.0,0.0,0.056816999999999986,0.061206,0
0.745524,0.665663,0.73411,0.801867,0.766098,0.126606,0.532571,0.967088,0.207993,0.313418,0.933118,0.538895,0.500492,0.292822,0.997004,0.981963,0.844521,0.99402,0.897342,0.983828,0.996739,0.8734219999999999,0.8845870000000001,0.993163,0.754858,0.54506,0.058514,0.192697,0.027915,0.280294,0.799532,0.10201,0.057783,0.245882,0.485171,0.399651,0.415471,0.215,0.22075,0.314031,0.496705,0.549541,0.453638,0.333331,0.21036,0.594585,0.087031,0.149286,0.205017,0.104263,0.5979399999999999,0.534088,0.857152,0
0.0,0.997702,0.0,0.944366,0.007606999999999998,0.992683,0.005668,0.864557,0.0,0.00395,0.609942,0.463686,0.481486,0.187689,0.998981,0.985577,0.235513,0.999932,0.8197399999999999,0.8614440000000001,0.997953,0.954735,0.93929,0.97265,0.827516,0.595011,0.050695,0.262569,0.15296400000000002,0.023744,0.825809,0.0,0.0,0.0,0.9534,0.945358,0.072013,0.809105,0.819789,0.891968,0.734153,0.300773,0.572498,0.454149,0.822623,0.6334310000000001,0.110506,0.0,0.057864,0.648393,0.046384,0.090899,0.0,1
0.642271,0.6787880000000001,0.709276,0.104425,0.76679,0.133946,0.407924,0.974683,0.204468,0.304372,0.472971,0.471676,1.0,0.409302,0.986217,0.984433,0.7400260000000001,0.964789,0.780312,0.962895,0.983967,0.961481,0.963319,0.980142,0.052112,0.041222,0.042667,0.07865599999999999,0.00771,0.047111,0.063265,0.105736,0.057681,0.17793699999999998,0.667908,0.554195,0.8302370000000001,0.361233,0.341887,0.381639,0.511066,0.849966,0.779939,0.53699,0.21597800000000006,0.270406,0.155976,0.285716,0.147203,0.41809,0.530931,0.363634,0.551021,2
0.00325,0.996984,0.002187,0.944139,0.012447,0.996326,0.004237,0.865823,0.003535,0.00395,0.79503,0.507076,0.469584,0.219802,0.999333,0.986736,0.297526,0.99997,0.834865,0.871402,0.99839,0.958281,0.943863,0.974655,0.989821,0.724454,0.065631,0.316861,0.187137,0.033522,0.989511,0.004369,0.00484,0.0035060000000000004,0.8675959999999999,0.874182,0.063263,0.729318,0.757161,0.8605870000000001,0.0,0.097872,0.508888,1.0,0.438254,0.658259,0.244874,0.165677,0.042029,0.649776,0.097955,0.056816999999999986,0.061206,3
0.002423,0.996984,0.004375,0.94391,0.013138999999999998,1.0,0.004237,0.870886,0.007051999999999998,0.001572,0.616302,0.445987,0.470415,0.219006,0.999323,0.986816,0.299115,0.99995,0.835608,0.871541,0.99839,0.958502,0.944095,0.974779,1.0,0.7333430000000001,0.066086,0.320274,0.189528,0.034012,1.0,0.004623,0.004992,0.003696,0.35275300000000004,0.377011,0.016249,0.18433,0.214434,0.409691,0.412767,0.0,0.127207,0.205199,0.30812399999999995,0.376155,0.062887,0.123041,0.20066,0.162445,0.082484,0.056816999999999986,0.061206,4
0.054453,1.0,0.029212,0.94984,0.0,0.8201790000000001,0.004237,0.970885,0.16569,0.303979,0.283596,0.5282859999999999,0.5286930000000001,0.112025,0.8675459999999999,0.8869049999999999,0.374343,0.764165,0.196882,0.887558,0.8696209999999999,0.950495,0.945264,0.941492,0.0,0.006483,0.0,0.0,0.001027,0.0,0.0,0.048946,0.013361,0.117662,0.5921649999999999,0.485947,0.365672,0.35191500000000003,0.367801,0.430351,0.592947,0.354503,0.693496,0.53968,0.163643,0.453145,0.155792,0.298227,0.126236,0.453401,0.623714,0.056816999999999986,0.061206,5
0.902438,0.6348,0.7772060000000001,0.8362950000000001,0.573013,0.16880699999999998,0.920677,0.860759,0.141013,0.01181,0.302867,0.000597,0.467994,0.999237,0.985084,0.999406,0.955434,0.983032,0.995251,0.989486,0.981321,0.997221,0.996829,0.999221,0.028267,0.223185,0.121761,0.105041,0.113021,0.13439,0.047245,0.155602,0.137094,0.118401,1.0,1.0,0.077013,1.0,1.0,1.0,1.0,0.412815,0.645057,0.514618,1.0,0.774393,1.0,1.0,0.431771,1.0,0.087641,0.534088,0.857152,6
0.762598,0.673112,0.8049649999999999,0.0,1.0,0.07706299999999999,0.501409,0.986076,0.186842,0.314597,0.0,0.7461399999999999,0.08617000000000001,0.424701,0.992993,0.988194,0.871886,0.966372,0.8534299999999999,0.983089,0.991923,0.942561,0.949336,0.991975,0.049606,0.053259,0.091154,0.018241,0.008147,0.059117,0.069426,0.139984,0.085816,0.198387,0.7277600000000001,0.5895819999999999,0.92918,0.382197,0.355389,0.379259,0.476676,0.910739,0.8525020000000001,0.532906,0.214531,0.288451,0.154898,0.283837,0.077735,0.408876,0.685569,0.386361,0.979611,7
0.739833,0.668324,0.738494,0.805971,0.758486,0.11743,0.565148,0.973417,0.247947,0.304765,0.638951,0.638594,0.5828180000000001,0.036102,0.643371,0.666764,0.8809809999999999,0.6245430000000001,0.6402100000000001,0.730672,0.647628,0.817519,0.819939,0.809002,0.027749,0.019007,0.07814700000000001,0.047933,0.011675,0.07421599999999999,0.057925,0.139202,0.080975,0.191055,0.469282,0.368187,0.434197,0.220676,0.218546,0.31800500000000004,0.189834,0.6379600000000001,0.444494,0.538574,0.133429,0.096367,0.155355,0.271369,0.7432989999999999,0.288817,0.7731979999999999,0.534088,0.061206,8
0.73658,0.667081,0.731189,0.8041470000000001,0.757794,0.126606,0.550984,0.967088,0.192717,0.314597,0.977929,0.646221,0.508212,0.297489,0.995456,0.977599,0.822965,0.993466,0.894553,0.985617,0.995376,0.846383,0.8614569999999999,0.996602,0.8356959999999999,0.574601,0.057778,0.21408600000000005,0.028425,0.342386,0.8789899999999999,0.087265,0.048556,0.25745100000000004,0.340042,0.272489,0.278927,0.097171,0.105796,0.194726,0.313249,0.507292,0.226816,0.317754,0.046039,0.206992,0.082509,0.187098,0.729654,0.360358,0.850504,0.534088,0.857152,9
1.0,0.0,1.0,0.8445030000000001,0.551559,0.13211099999999998,0.373931,0.972151,0.239721,0.306339,0.6114539999999999,0.19906,0.0,0.750311,0.983142,0.980133,0.94053,0.974315,0.930916,0.987622,0.983052,0.976015,0.979775,0.993858,0.028323,0.032438,0.109245,0.018002,0.014445,0.069384,0.055459,0.183617,0.118489,0.250522,0.7277600000000001,0.582375,0.466577,0.414476,0.436347,0.453443,0.841482,0.32491,0.8525020000000001,0.52978,0.137186,0.498072,0.153588,0.297467,0.0,0.410567,0.5979399999999999,0.386361,1.0,10
