Industries,Manuf.,Food,Beverage,Beverage.1,Production,Production.1,Services,Agriculture,F00,Industries (3),Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014r,Year_2015p,Year_nan,clazz
11.7,-7.0,129.1,-36.4,80.9,6.7,-1.5,-49.1,2.8,7.9,7.9,0,0,0,0,0,1,0,0,0,0,0.0
12.6,8.5,-12.7,0.0,-10.2,2.0,2.0,-46.6,0.1,-1.2,-1.2,0,1,0,0,0,0,0,0,0,0,0.0
15.0,26.8,30.9,13.0,25.1,27.1,-11.2,69.2,16.2,16.8,16.8,0,0,0,0,1,0,0,0,0,0,0.0
16.6,37.0,29.1,60.2,32.3,22.4,14.4,26.2,20.7,22.0,22.0,0,0,0,0,0,0,1,0,0,0,0.0
-23.4,1.4,-24.9,44.1,-16.5,0.5,2.0,-1.0,1.6,-1.0,-0.9,0,0,0,0,0,0,0,0,1,0,0.0
23.7,-5.0,-48.3,47.1,-34.7,0.0,0.0,42.2,0.7,-2.5,-2.5,0,0,0,1,0,0,0,0,0,0,0.0
-29.2,-52.1,2.4,-40.3,-7.1,58.6,-29.0,-6.0,13.4,11.2,11.2,0,0,1,0,0,0,0,0,0,0,0.0
49516.0,1364.0,93.9,15.7,109.6,724.1,338.2,18.7,1081.0,1190.6,1190.6,0,0,1,0,0,0,0,0,0,0,0.0
61228.2,1295.3,48.5,23.1,71.6,724.1,338.1,26.6,1088.8,1160.4,1160.4,0,0,0,1,0,0,0,0,0,0,0.0
62158.6,2620.7,105.1,26.3,131.4,447.6,467.2,37.3,952.1,1083.5,1083.5,1,0,0,0,0,0,0,0,0,0,0.0
6.7,18.3,19.6,16.9,19.3,1.5,8.5,-1.0,1.1,-100.0,3.3,0,0,0,0,0,0,0,1,0,0,0.0
69969.8,2844.7,91.7,26.3,118.0,456.5,476.5,19.9,952.9,1070.9,1070.9,0,1,0,0,0,0,0,0,0,0,0.0
70389.3,1641.9,63.5,26.1,89.6,920.5,300.2,45.0,1265.7,1355.3,1355.3,0,0,0,0,1,0,0,0,0,0,0.0
74926.5,2508.1,168.8,44.8,213.6,1226.6,374.4,11.6,1612.6,-1.0,1826.2,0,0,0,0,0,0,0,0,1,0,0.0
78605.8,1526.4,145.5,16.6,162.1,982.1,295.7,22.9,1300.7,1462.8,1462.8,0,0,0,0,0,1,0,0,0,0,0.0
91681.7,2091.7,187.9,26.6,214.5,1202.5,338.3,28.9,1569.7,1784.2,1784.2,0,0,0,0,0,0,1,0,0,0,0.0
97800.2,2473.8,224.7,31.1,255.8,1220.5,367.1,-1.0,1587.6,-1.0,1843.4,0,0,0,0,0,0,0,1,0,0,0.0
