F02,F03,F04,F06,F07,F08,F01_2006,F01_2007,F01_2008,F01_2009,F01_2010,F01_2011,F01_2012r,F01_2013r,F01_2014r,F01_2015p,F01_nan,clazz
11703412,16451797,28155210,22.1,-2.9,6.1,1,0,0,0,0,0,0,0,0,0,0,0.0
14885138,16916865,31802003,27.2,2.8,13.0,0,1,0,0,0,0,0,0,0,0,0,0.0
16379712,19381765,35761478,-6.4,7.7,0.7,0,0,0,0,1,0,0,0,0,0,0,0.0
17506050,18004367,35510417,-13.8,-4.8,-9.5,0,0,0,1,0,0,0,0,0,0,0,0.0
18847012,21765974,40612986,15.1,12.3,13.6,0,0,0,0,0,1,0,0,0,0,0,0.0
20316795,18921239,39238035,36.5,11.8,23.4,0,0,1,0,0,0,0,0,0,0,0,0.0
20625638,23243295,43868933,9.4,6.8,8.0,0,0,0,0,0,0,1,0,0,0,0,0.0
22098258,24236188,46334445,7.1,4.3,5.6,0,0,0,0,0,0,0,1,0,0,0,0.0
25620005,26293142,51913147,15.9,8.5,12.0,0,0,0,0,0,0,0,0,1,0,0,0.0
26697392,29410739,56108131,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,1,0,0.0
3039976,2773452,5813428,46.7,-15.0,8.9,1,0,0,0,0,0,0,0,0,0,0,0.0
3262394,3513015,6775409,-22.6,9.4,-8.8,0,0,0,0,1,0,0,0,0,0,0,0.0
3623134,2868343,6491477,19.2,3.4,11.7,0,1,0,0,0,0,0,0,0,0,0,0.0
4216732,3212105,7428837,-16.8,-3.1,-11.4,0,0,0,1,0,0,0,0,0,0,0,0.0
4520345,3540720,8061065,38.6,0.8,19.0,0,0,0,0,0,1,0,0,0,0,0,0.0
5060670,3650973,8711642,-8.5,-0.8,-5.4,0,0,0,0,0,0,0,1,0,0,0,0.0
5070451,3315461,8385912,39.9,15.6,29.2,0,0,1,0,0,0,0,0,0,0,0,0.0
5378661,4802605,10181266,-1.8,12.5,4.5,0,0,0,0,0,0,0,0,0,1,0,0.0
5476265,4268628,9744893,8.2,16.9,11.9,0,0,0,0,0,0,0,0,1,0,0,0.0
5529191,3680751,9209942,22.3,4.0,14.3,0,0,0,0,0,0,1,0,0,0,0,0.0
