2011,2012,2013r,2014r,2015p,F00,'15/'14,F01, 2011-2015,Item_ Beef and Veal,Item_ Horse Meat,Item_ Other Cattle,Item_ Other Meat (2),Item_ Pork ,Item_ Processed Meat,Item_ Purebred Cattle,"Item_Alfalfa Meal and Pellets, Dehydrated",Item_Barley,Item_Canola Seed,"Item_Canola/Mustard Oil, Crude","Item_Canola/Mustard Oil, Refined",Item_Cereals Prepared,Item_Crops-1Total,Item_Dairy Produce,Item_Hay and Fodder (incl. Alfalfa Cubes),Item_Honey,Item_Lentils,Item_Linseed,Item_Live Cattle-1Total,Item_Live Hogs,Item_Malt Roasted or not Roasted,Item_Meats (1)-1Total,Item_Mustard Seed,Item_Oats,Item_Oilseed Cake and Meal,Item_Other Cereals Milled,Item_Other Cereals Unmilled,Item_Other Dried Beans,Item_Other Feeds of Vegetable Origin.,Item_Other Oilseeds,"Item_Peas, Dried",Item_Peat Moss,"Item_Potatoes, Seed and Other.",Item_Prepared Animal Feeds,Item_Processed Potatoes,Item_Seeds for Sowing,Item_Tallow,Item_Vegetables and Fruits.,Item_Wheat,Item_Wheat or Meslin Flour,Item_nan,clazz
108041,134178,121544,124022,93331,0,-24.7,0,116223,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10859,9111,8734,10195,13225,0,29.7,0,10425,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
109987,126103,117415,111278,117130,0,5.3,0,116383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
123050,111556,109930,122225,131035,7,7.2,0,119559,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1389,32209,2143,2752,1928,0,-30.0,0,8084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
14907,33702,48057,43231,73082,0,69.0,0,42596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15973,17390,17937,14714,15144,0,2.9,0,16232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
167954,185711,147062,158397,204352,0,29.0,0,172695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
185069,179105,176736,226179,224867,0,-0.6,0,198391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
197779,422882,182839,127985,139987,0,9.4,0,214294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
202445,354701,310781,279736,247266,0,-11.6,0,278986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2168,2566,2507,2840,3640,0,28.2,0,2744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2246,6196,7971,8530,7877,-8,-7.6,0,6564,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
249170,195631,205184,235525,240469,2,2.1,0,225196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25147,46377,37467,41998,53092,0,26.4,0,40816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
254514,392257,219720,175652,119677,0,-31.9,0,232364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
