2011,2012,2013r,2014r,2015p,'15/'14, 2011-2015,F00,Country_Algeria,Country_Australia,Country_Bangladesh,Country_Belgium,Country_Cameroon,Country_Chile,Country_China,Country_Colombia,Country_Costa Rica,Country_Cuba,Country_Dominican Republic,Country_Ecuador,Country_France,Country_Germany,Country_Ghana,Country_Guatemala,Country_Hong Kong,Country_India,Country_Indonesia,Country_Iraq,Country_Italy,Country_Japan,"Country_Korea, South",Country_Malaysia,Country_Mexico,Country_Morocco,Country_Mozambique,Country_Netherlands,Country_New Zealand,Country_Nigeria,Country_Other Countries,Country_Pakistan,Country_Peru,Country_Philippines,Country_Portugal,Country_Russian Federation,Country_Saudi Arabia,Country_Singapore,Country_South Africa,Country_Spain,Country_Sri Lanka,Country_Sudan,Country_Switzerland,Country_Taiwan,Country_Thailand,Country_Turkey,Country_United Arab Emirates,Country_United Kingdom,Country_United States,Country_Venezuela,Country_Vietnam,Country_nan,clazz
100473,109438,97860,130544,106307,-18.6,108924,1.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
104127,82702,152846,191738,108000,-43.7,127882,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10794,53455,34683,43538,50681,16.4,38630,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1171516,1345995,1288407,1197409,1100971,-8.1,1220860,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11732,23475,32674,11548,38773,235.8,23640,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
12767,16219,11672,23102,14310,-38.1,15614,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
129134,182152,242880,200984,169114,-15.9,184853,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13447,21049,38525,36901,26735,-27.5,27331,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13689,9061,10994,12025,12991,8.0,11752,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
139716,168884,220091,190174,213562,12.3,186485,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
