dataset,time,number-clusters,calinski-harabasz
tab-12.csv,5.69544,9,68.32724763698079
tab-14.csv,1.46674,4,70.54972514997823
tab-15.csv,5.23728,7,227.02162680642496
tab-35.csv,6.49718,12,2022.8618743099028
tab-36.csv,2.30932,10,2507.21406873462
tab-37.csv,13.2602,21,126196.99341183706
tab-38.csv,7.26967,2,39.18284895006701
tab-42.csv,11.6183,13,192492.16725072783
tab-45.csv,6.40617,11,1019134.9182499654
tab-47.csv,4.89043,10,13613.292364589044
tab-94.csv,2.17407,3,1215.78701921933
21100183.csv,4.22893,22,815948.2758198637
21100245.csv,2.65652,5,235.47677514792915
artpublic.csv,15.1861,14,7.029626436150728
ccsf_en.csv,23.7309,2,230.06013655462294
dados.csv,64.0601,44,276732.5560906739
covid-line-list.csv,54.2551,2,1004.5129782664584
estimations.csv,6.96181,4,1572.782132745649
liz-friedman-covid.csv,3.72484,8,391.8409843859739
accidental_deaths.csv,15.6209,14,69.57810129452352
children_injured.csv,13.7351,28,22399.535689904613
children_killed.csv,23.3691,2,261.5822668302937
Crime1.csv,116.162,2,1500.17269852687
knifecrime2.csv,81.7077,290,18609.72970938095
teens_injured.csv,7.07177,26,18722.206003680654
teens_killed.csv,5.21867,34,54.29354179312866
39100009-000000.csv,68.8865,192,450551401633588.0
39100009-000001.csv,22.9659,81,61.24590487799486
39100009-000002.csv,18.9119,60,8.181069878677842
39100009-000003.csv,47.0949,56,6.791707987610201
39100009-000004.csv,53.4188,205,78.34436463681902
39100009-000005.csv,115.442,22,24601189929496.062
39100009-000006.csv,64.0538,235,5097.200166132545
39100009-000007.csv,5.10953,4,182351527344940.94
39100011.csv,6.98134,28,3026.1585029686175
39100016.csv,7.06657,7,3218640408.829623
39100019.csv,6.54983,7,337043354.9583409
39100020.csv,10.6395,14,31.826335243695794
39100021.csv,20.6284,19,37.016877550410925
39100029.csv,5.94546,5,15190173.123161795
39100033.csv,3.17308,14,51.168422470699205
39100037.csv,93.0351,588,2848186201.213565
39100038.csv,8.96579,7,337043354.9583409
tag00120.csv,61.7672,6,6.1168912139743545
32100004.csv,22.7077,9,566834940.7295372
32100009.csv,78.2073,3,93873.87381962687
32100010.csv,72.0807,3,6389491597913186.0
32100020.csv,61.2716,3,94776510512.23346
32100024.csv,26.9763,11,231926988721.70224
32100027.csv,32.1911,7,65984.772275412
32100030.csv,20.8443,7,3458.944213406691
32100084.csv,81.5042,144,3538.1874947995448
32100166.csv,68.3067,52,15735884439.173788
32100192.csv,52.9837,11,498590414.5961172
co2-nuts-2.csv,21.8407,19,2337.814442283703
med_en1.csv,1.88895,2,4.737797489831951
med_en2.csv,5.6604,6,44853.915210767605
t2020_30.csv,5.70619,16,4205.411993415854
videos_utf8.csv,59.6663,9,35.25025612873275
both_sexes.csv,6.53484,7,701226516702.6565
divorce.csv,5.83989,7,3558150723344.411
men.csv,4.11027,7,115387321041.79164
women.csv,4.42935,7,2105471726169.3
B-9.csv,18.2025,16,2957.1720708492526
C-6.csv,17.1241,4,67868981.19965778
D-1.csv,14.0557,5,2827609.508307707
E-7.csv,12.5041,8,394423098.46619844
F-4.csv,13.0683,5,2558235.44245617
G-3.csv,10.3717,8,451086365.15271544
H-1.csv,68.5305,13,13115.127997470934
H-2.csv,56.6546,13,9796.782059441002
H-3.csv,75.1491,12,9862.782373815719
H-4.csv,72.939,13,9638.91161601592
J-1.csv,107.305,18,9906.14702965031
J-2.csv,91.4761,13,13765.392744916515
J-3.csv,120.149,13,9739.407238570577
J-4.csv,86.7726,13,13560.47645238392
K-6.csv,51.7865,22,11355.441043495053
K-7.csv,103.433,13,13379.781019053467
K-8.csv,38.5486,827,1911323564.110042
K-9.csv,79.7958,5,12022.994895424694
Z-1.csv,120.488,424,9669791.202010306
Z-2.csv,139.689,13,6705.102400544937
37100078.csv,9.32979,34,4704982033218571.0
37100141.csv,4.94241,5,5445484142110028.0
CS_ANG.csv,3.09535,4,2831.7612789441423
13100166.csv,45.1793,26,24889341535481.418
13100169.csv,15.0205,13,554070.4562766196
13100170.csv,38.0176,16,42243.26661137602
13100172.csv,7.1209,14,2228.628547683547
13100173.csv,11.9871,7,4586868.905063291
34100282.csv,49.2582,6,7692841963.628771
37100004.csv,50.7882,7,224012148.46877825
37100005.csv,51.1037,6,9247887058.28131
37100006.csv,43.8693,89,541.1627803464853
jan-feb-foils.csv,4.67188,2,57.03389830508479
csv-4.csv,4.82457,3,295.5233449550745
DailyUsage.csv,2.50551,10,653.9200864776373
eduroam.csv,2.26234,8,918.6047031715908
geojson-2.csv,7.17925,14,690641.046787621
json-5.csv,8.3056,13,401856.2409155859
