dataset,time,number-clusters,davies-bouldin
tab-12.csv,3.58974,5,0.3821569343918464
tab-14.csv,1.34951,3,0.30264048389703285
tab-15.csv,5.20297,8,0.16077439395144838
tab-35.csv,3.12959,2,0.12870393503382455
tab-36.csv,3.43182,10,0.21316846135005227
tab-37.csv,5.17737,2,0.06385593193376136
tab-38.csv,5.08227,3,0.24513311295931298
tab-42.csv,4.48257,3,0.03186130309889081
tab-45.csv,5.39722,2,0.0843313014105829
tab-47.csv,3.44757,2,0.1391397116319267
tab-94.csv,2.05325,2,0.034217266984805615
21100183.csv,7.99236,2,0.0355334876354399
21100245.csv,2.07767,2,0.7453559924999298
artpublic.csv,2.59555,2,4.670633132128535
ccsf_en.csv,20.9649,2,0.010292873146607734
dados.csv,142.466,3056,0.6792744248281929
covid-line-list.csv,55.3581,2,0.031332673753815474
estimations.csv,9.2189,4,0.09077384352205206
liz-friedman-covid.csv,5.56369,12,0.2557849825080192
accidental_deaths.csv,19.8774,2,0.006850092943062781
children_injured.csv,13.7163,2,0.0068776754734330035
children_killed.csv,8.80298,2,0.006877675473433002
Crime1.csv,173.082,2,0.0011394327648753862
knifecrime2.csv,39.7128,2,0.17531131369105252
teens_injured.csv,10.6348,2,0.007367442427433142
teens_killed.csv,17.7274,2,0.012096526649320883
39100009-000000.csv,135.585,2,0.2552627609871464
39100009-000001.csv,91.8594,2,1.1008240842230726e-05
39100009-000002.csv,50.8693,2,0.1528884901639258
39100009-000003.csv,84.1908,2,1.0038171113477372e-05
39100009-000004.csv,74.8166,2,1.5367501614289423e-05
39100009-000005.csv,15.8989,2,0.15107399252590717
39100009-000006.csv,20.7936,2,0.044924079289689875
39100009-000007.csv,4.91148,2,0.17284132307170136
39100011.csv,2.534,2,0.0016990866458090825
39100016.csv,7.48252,2,0.0012337548966899299
39100019.csv,4.72702,3,0.21368636420898424
39100020.csv,25.0081,2,0.03691047181083184
39100021.csv,30.8264,2,0.08483934038792434
39100029.csv,6.54098,3,0.2065736333558771
39100033.csv,3.93885,2,0.0012014212479644782
39100037.csv,42.8105,2,0.0016990866458093947
39100038.csv,3.48214,2,0.0012014212479638338
tag00120.csv,42.1339,2,0.18695766845843975
32100004.csv,9.53769,3,0.27993036239527563
32100009.csv,42.057,3,0.18801697029942796
32100010.csv,195.838,3,6.313315139088105e-07
32100020.csv,71.4738,3,0.18601794352475523
32100024.csv,28.525,3,0.0032393154497446994
32100027.csv,52.4423,2,0.0010710218869158293
32100030.csv,38.7049,3,0.18597118652813535
32100084.csv,54.715,3,0.18601794352330944
32100166.csv,49.4021,2,0.0015146647083124692
32100192.csv,113.132,2,0.0010710218869158293
co2-nuts-2.csv,3.96975,130,0.31689637278481414
med_en1.csv,1.80445,2,0.30638480947702434
med_en2.csv,1.62212,4,0.6132009767377111
t2020_30.csv,3.26432,2,0.0935550498529252
videos_utf8.csv,108.664,2,0.0033295859419611193
both_sexes.csv,4.82353,5,0.25758944177661275
divorce.csv,3.46827,6,0.15655297214863387
men.csv,2.90732,5,0.19698079076872368
women.csv,3.3649,5,0.22409359175220928
B-9.csv,10.2139,194,0.3706954516559877
C-6.csv,10.567,3,0.16276940882043758
D-1.csv,17.4715,5,0.29963565348748344
E-7.csv,20.1289,2,0.0007088764463987203
F-4.csv,20.247,5,0.22921168214131252
G-3.csv,20.4092,2,0.0007021274287872163
H-1.csv,247.216,12,1.4611063560989503
H-2.csv,186.152,7,1.5207357103559838
H-3.csv,120.129,596,0.19311967737043756
H-4.csv,120.565,1253,0.30787855884265103
J-1.csv,79.2714,1290,0.31006961605871564
J-2.csv,76.0073,1289,0.3031868549419097
J-3.csv,176.485,7,1.1271482159388884
J-4.csv,71.8329,13,0.7110140174047623
K-6.csv,76.2286,13,0.7297608262268741
K-7.csv,72.8918,13,0.7009585699362795
K-8.csv,53.5596,557,0.17791647136226205
K-9.csv,99.7673,242,0.26392735605457346
Z-1.csv,83.6347,1270,0.2703265583484014
Z-2.csv,98.9955,1270,0.38357459328826227
37100078.csv,4.01716,3,0.2147127329858407
37100141.csv,5.82963,2,6.014751219463619e-08
CS_ANG.csv,2.32701,4,0.07115342556236964
13100166.csv,7.94244,3,0.33414546933007355
13100169.csv,9.34237,2,0.0063219475599148155
13100170.csv,88.504,2,0.022466506700455264
13100172.csv,10.1852,2,0.007728300934213595
13100173.csv,7.0501,2,0.7881994843918129
34100282.csv,39.6735,2,0.0016990866458094062
37100004.csv,57.0866,2,0.0014734291596068105
37100005.csv,44.125,2,0.0014912856057747068
37100006.csv,51.2728,2,0.0010362505698586488
jan-feb-foils.csv,5.81038,2,0.040607097337389104
csv-4.csv,3.92596,14,0.36480511073887867
DailyUsage.csv,3.09107,15,0.45777777777777706
eduroam.csv,2.01219,2,0.19403097324343904
geojson-2.csv,12.8156,10,0.1346451577092461
json-5.csv,5.55627,3,0.07212862823269421
