dataset,time,number-clusters,silhouette
tab-12.csv,4.00738,5,0.5837033384303834
tab-14.csv,2.85404,2,0.6710273199531565
tab-15.csv,2.57858,2,0.8958823575445005
tab-35.csv,2.7887,2,0.832488923181761
tab-36.csv,3.42087,10,0.47932874450674523
tab-37.csv,4.55219,2,0.9172361531192548
tab-38.csv,17.5283,2,0.9247762114153769
tab-42.csv,4.43715,2,0.9140127046843105
tab-45.csv,6.11593,4,0.9101984052067195
tab-47.csv,6.79582,3,0.9057526906946336
tab-94.csv,2.25216,3,0.576944572694731
21100183.csv,3.86495,3,0.7394100154553731
21100245.csv,2.28196,2,0.5823298124695769
artpublic.csv,5.63045,2,0.46427988516213736
ccsf_en.csv,24.6558,2,0.9633870007454475
dados.csv,151.453,3,0.8378137520791525
covid-line-list.csv,61.9777,2,0.9676747305516495
estimations.csv,4.71446,4,0.9223763645965817
liz-friedman-covid.csv,6.06561,6,0.7343460498301532
accidental_deaths.csv,17.4591,2,0.9818554369044262
children_injured.csv,28.4534,2,0.9836330938639454
children_killed.csv,25.5426,2,0.983089010741174
Crime1.csv,328.423,2,0.9835221868546651
knifecrime2.csv,65.4956,2,0.9146313787424268
teens_injured.csv,8.48753,2,0.9767055918588894
teens_killed.csv,28.6468,2,0.9815473664039734
39100009-000000.csv,75.3205,2,0.9999894560119958
39100009-000001.csv,111.483,2,0.9514134369371554
39100009-000002.csv,50.7366,2,0.9999867407294064
39100009-000003.csv,110.132,2,0.9999901435172082
39100009-000004.csv,54.3492,2,0.9999920440310247
39100009-000005.csv,17.6721,2,0.9644983751217975
39100009-000006.csv,18.7664,2,0.951465828716121
39100009-000007.csv,4.55885,3,0.9816183744585625
39100011.csv,1.89862,2,0.998048291478356
39100016.csv,9.41084,3,0.8042961357723473
39100019.csv,4.51098,3,0.7731538585967704
39100020.csv,14.3125,2,0.9980690342742379
39100021.csv,13.4205,2,0.9442410889210984
39100029.csv,3.8312,3,0.7708519731764755
39100033.csv,3.13429,3,0.7644273942192709
39100037.csv,130.918,2,0.9986398486006061
39100038.csv,3.57804,2,0.9986144489479563
tag00120.csv,38.7437,2,0.9306015297515436
32100004.csv,16.4303,2,0.9988358300212873
32100009.csv,162.911,3,0.9881223604310863
32100010.csv,242.169,2,0.9898653229478624
32100020.csv,282.518,2,0.998447034330868
32100024.csv,24.5755,4,0.8153981840780402
32100027.csv,20.5536,3,0.9954846504595624
32100030.csv,31.4705,10,0.5663995911012184
32100084.csv,42.6654,3,0.9954873835796553
32100166.csv,63.953,2,0.9988367545160095
32100192.csv,32.9146,149,0.6638032956666255
co2-nuts-2.csv,15.5106,4,0.5834968236511855
med_en1.csv,1.652,2,0.3172387786605867
med_en2.csv,1.88829,4,0.484420244974843
t2020_30.csv,2.89115,2,0.8785383598379802
videos_utf8.csv,192.444,2,0.9851432409290757
both_sexes.csv,8.84308,5,0.7275864329691175
divorce.csv,2.09434,6,0.48963879046640435
men.csv,3.4974,2,0.9999910356203842
women.csv,5.58178,5,0.7208057259458419
B-9.csv,9.11859,4,0.5784964358212412
C-6.csv,11.3622,3,0.9891707453515258
D-1.csv,15.3737,5,0.8519947526694995
E-7.csv,11.0903,5,0.8811415197918759
F-4.csv,21.4087,5,0.8534118243347433
G-3.csv,22.3099,2,0.999089850959436
H-1.csv,60.9035,13,0.7525149957016751
H-2.csv,154.117,13,0.7498786632148041
H-3.csv,84.7053,61,0.6898936255840254
H-4.csv,88.2451,13,0.7461016348001808
J-1.csv,105.316,22,0.7860962033840151
J-2.csv,121.899,13,0.7498631681055056
J-3.csv,126.631,22,0.7948537971064998
J-4.csv,90.7481,13,0.751934899632064
K-6.csv,83.1593,13,0.7483646707434752
K-7.csv,145.651,13,0.7335947274373358
K-8.csv,305.493,3,0.9294082968827744
K-9.csv,250.956,898,0.1412391010935911
Z-1.csv,215.362,22,0.8463478125840544
Z-2.csv,219.684,1278,0.36239298497854266
37100078.csv,4.16047,3,0.7795932118203106
37100141.csv,5.46867,3,0.5873174570318288
CS_ANG.csv,1.91675,3,0.7193840344686846
13100166.csv,37.9808,3,0.9581831705444149
13100169.csv,8.47098,3,0.6603031422938138
13100170.csv,45.6991,2,0.977609055470501
13100172.csv,11.0821,2,0.9915513916441981
13100173.csv,16.8124,2,0.9915524604118586
34100282.csv,180.711,2,0.9986407456114479
37100004.csv,96.9425,2,0.9988496567327824
37100005.csv,85.055,2,0.9983751948858888
37100006.csv,106.3,2,0.9988531365672053
jan-feb-foils.csv,4.64695,2,0.9397882299125819
csv-4.csv,2.98335,3,0.8739639672262323
DailyUsage.csv,2.16243,3,0.7073780657927906
eduroam.csv,1.43215,2,0.7458863142226536
geojson-2.csv,1.82566,13,0.43027281985184584
json-5.csv,6.42766,5,0.670475017921725
