dataset,time,number-clusters,calinski-harabasz
tab-12.csv,0.0189982,9,68.32724763698079
tab-14.csv,0.0083719,4,70.54972514997823
tab-15.csv,0.0140803,7,737.9487757541217
tab-35.csv,0.0184858,12,2022.8618743099028
tab-36.csv,0.0111681,7,293.7037859210367
tab-37.csv,0.0566591,21,187993.43550355342
tab-38.csv,0.0245967,8,11.054231879631667
tab-42.csv,0.0935994,13,288739.8342094251
tab-45.csv,0.0342565,13,1107899.3887046562
tab-47.csv,0.0132135,7,71.13479703277822
tab-94.csv,0.0049502,3,1215.78701921933
21100183.csv,0.0260138,22,372863.11896921234
21100245.csv,0.0095211,5,235.47677514792915
artpublic.csv,0.294911,12,9.312802459796425
ccsf_en.csv,16.9675,2,459.33103077987676
dados.csv,5.47671,47,302267.8306655411
covid-line-list.csv,2.58587,2,502.18674016256995
estimations.csv,0.033792,4,980.8458800223344
liz-friedman-covid.csv,0.0319072,7,246.602168977088
accidental_deaths.csv,5.31673,28,10599.937319457475
children_injured.csv,4.36141,23,10.353668052525947
children_killed.csv,2.5488,28,9.587408080399282
Crime1.csv,76.4139,2,1500.17269852687
knifecrime2.csv,10.842,262,21230.73046914299
teens_injured.csv,2.08125,34,14806.090190240777
teens_killed.csv,6.0976,29,22174.421212542456
39100009-000000.csv,55.8436,192,631429701571022.1
39100009-000001.csv,40.0137,245,1931976435409151.8
39100009-000002.csv,15.9863,52,12.885033968638258
39100009-000003.csv,21.0034,37,6.9820314670948145
39100009-000004.csv,23.5615,186,6467.6904259356525
39100009-000005.csv,20.057,92,24878683466.92599
39100009-000006.csv,8.28418,101,10.466916196157186
39100009-000007.csv,0.0805089,4,212743448569099.4
39100011.csv,0.0373325,28,3109.992487973042
39100016.csv,0.326185,7,2861013688.052238
39100019.csv,0.0328464,7,337043354.9583409
39100020.csv,0.659542,9,248.3317610434527
39100021.csv,6.00757,21,14.262588401898082
39100029.csv,0.0224865,6,104380502.88000019
39100033.csv,0.0241593,14,51.1684224706992
39100037.csv,5.8491,585,3330776.6999520883
39100038.csv,0.0345126,7,224695567.25000507
tag00120.csv,9.85614,7,6.974335887605452
32100004.csv,7.44012,65,30367011.103207547
32100009.csv,17.048,3,93873.87381962687
32100010.csv,19.808,3,2617.918594776016
32100020.csv,14.261,3,94776510512.23347
32100024.csv,8.06406,12,292753664142.8258
32100027.csv,8.93655,8,81979.39770410648
32100030.csv,7.12177,6,139460.58765657598
32100084.csv,2.97921,4,100155337775.98003
32100166.csv,4.3754,42,26208474043.91257
32100192.csv,29.7717,10,200417533.85833812
co2-nuts-2.csv,0.0852883,22,1927.503831259781
med_en1.csv,0.0055683,2,2.5656323158353422
med_en2.csv,0.0110693,6,117785.02710692535
t2020_30.csv,0.0107578,2,34.05555555555555
videos_utf8.csv,32.6319,9,3.100340598859537
both_sexes.csv,0.0098935,6,99450762024.94373
divorce.csv,0.0129999,7,3558150723344.411
men.csv,0.0156344,7,543.4501031158528
women.csv,0.0380246,5,16579818020.132502
B-9.csv,0.190882,6,2440.291225314847
C-6.csv,0.166116,5,112417122.7857901
D-1.csv,0.52953,8,10907028.02146126
E-7.csv,0.318178,6,275341011.0894841
F-4.csv,0.724725,5,2353641.880767477
G-3.csv,0.373866,126,3111579922.843403
H-1.csv,3.86888,4,11192.839298312483
H-2.csv,4.93114,4,10599.713477760704
H-3.csv,4.39241,3,11916.588672457498
H-4.csv,8.06196,3,10417.50564700704
J-1.csv,8.15132,3,10633.215150807635
J-2.csv,6.33048,4,12390.90819783322
J-3.csv,7.14747,4,12283.600611455347
J-4.csv,5.99211,4,12255.087230552866
K-6.csv,4.25146,4,12273.719323865316
K-7.csv,5.71849,4,11230.334602697932
K-8.csv,8.46371,843,2720930033.0835114
K-9.csv,4.64281,2,12779.50929657862
Z-1.csv,5.06695,1122,12262360.826746853
Z-2.csv,9.52598,1215,18723.816823290985
37100078.csv,0.134175,35,45315.75105272778
37100141.csv,0.0528679,4,2047820021878906.0
CS_ANG.csv,0.0098233,4,1415.047306138738
13100166.csv,1.90239,24,22769745072667.613
13100169.csv,0.578195,12,1967010.5788156781
13100170.csv,3.84821,2,1094.9285422796556
13100172.csv,0.836568,7,2864646.6350210924
13100173.csv,0.868659,7,3057877.4367088615
34100282.csv,17.7436,7,48191.185415548985
37100004.csv,8.57524,7,275444231.95861787
37100005.csv,6.24722,7,1868.4469981537263
37100006.csv,8.93204,7,120204.48718492468
jan-feb-foils.csv,0.0914318,2,142.55932203389835
csv-4.csv,0.0130389,3,295.5233449550745
DailyUsage.csv,0.0064225,9,526.9242167747655
eduroam.csv,0.0207132,8,627.1132448886015
geojson-2.csv,0.025881,12,352288.7912412649
json-5.csv,0.0156019,14,378437.4564368295
