dataset,time,number-clusters,davies-bouldin
tab-12.csv,0.0099073,6,0.4380687293469829
tab-14.csv,0.00507,2,0.17187101398537843
tab-15.csv,0.011864,8,0.11072837515773351
tab-35.csv,0.0136491,2,0.12870393503382455
tab-36.csv,0.0074874,10,0.21316846135005227
tab-37.csv,0.0198963,2,0.0638559481472081
tab-38.csv,0.026905,2,0.08230217232109248
tab-42.csv,0.0397819,2,0.06633453430398005
tab-45.csv,0.0247203,2,0.0843313014105829
tab-47.csv,0.0094567,2,0.13913971163192673
tab-94.csv,0.0048062,2,0.034217266984805615
21100183.csv,0.0300041,3,0.3201091119333987
21100245.csv,0.0046239,2,0.7453559924999298
artpublic.csv,0.0799464,2,0.698897076388711
ccsf_en.csv,15.2421,2,0.00743157139008429
dados.csv,35.0663,2819,0.6806594994030335
covid-line-list.csv,3.20925,2,0.09591538255654472
estimations.csv,0.0540598,10,0.3920883158535977
liz-friedman-covid.csv,0.0184258,12,0.3905241273841415
accidental_deaths.csv,12.73,2,0.00685007784913782
children_injured.csv,3.84837,2,0.006877690597696797
children_killed.csv,5.5883,3,0.015966817775897087
Crime1.csv,107.942,2,0.0011394327648753897
knifecrime2.csv,23.8964,54,0.2168025194964987
teens_injured.csv,1.67854,2,0.0073674267745964086
teens_killed.csv,3.47393,2,0.006891557842036902
39100009-000000.csv,62.9141,3,0.1471066849538462
39100009-000001.csv,24.8384,3,0.31678726812532076
39100009-000002.csv,50.759,3,0.32455906409026264
39100009-000003.csv,35.1099,3,6.89972243492472e-06
39100009-000004.csv,16.1707,3,1.051570397490836e-05
39100009-000005.csv,14.431,5,0.27036388845353176
39100009-000006.csv,27.1366,2,0.08768559754587059
39100009-000007.csv,0.0561925,2,0.5478929644059706
39100011.csv,0.0088048,3,0.21368636420898302
39100016.csv,0.290828,3,0.19984675455018278
39100019.csv,0.014155,2,0.0016990866458095443
39100020.csv,0.733806,2,0.001699086645809196
39100021.csv,7.77532,2,0.08483932063197736
39100029.csv,0.0141588,3,0.20657363335511433
39100033.csv,0.0060562,3,0.21376057442984586
39100037.csv,5.5764,3,0.21368636420985263
39100038.csv,0.0212336,3,0.21368636421004697
tag00120.csv,12.4603,3,0.1242979368293035
32100004.csv,3.88808,3,0.18597118248597302
32100009.csv,19.88,3,0.18601799073448078
32100010.csv,35.0551,2,0.016145459919147107
32100020.csv,13.5363,2,0.0015146647083120008
32100024.csv,6.98529,2,0.0010710218869158293
32100027.csv,8.77912,7,0.36003660456837766
32100030.csv,4.86061,6,0.31537492265553
32100084.csv,4.30445,2,0.0010710218869150608
32100166.csv,3.12447,3,0.18597127686383455
32100192.csv,21.1737,2,0.0010710340033703533
co2-nuts-2.csv,0.0716388,127,0.30784884664724477
med_en1.csv,0.0075073,2,0.30638480947702434
med_en2.csv,0.0074579,6,0.6584663575625538
t2020_30.csv,0.0199016,2,0.0935550498529252
videos_utf8.csv,89.3237,2,0.0033295859419611193
both_sexes.csv,0.0120564,2,9.448063235410203e-06
divorce.csv,0.0120994,5,0.16652699948275046
men.csv,0.0208359,5,0.31562916474020747
women.csv,0.0307864,5,0.16811265161433436
B-9.csv,0.329143,2,0.42694475578857066
C-6.csv,0.191299,3,0.16276940882043758
D-1.csv,0.438374,3,0.0911832485037219
E-7.csv,0.355043,3,0.10081539727975407
F-4.csv,0.576134,3,0.19905248041791582
G-3.csv,0.295967,3,0.21324235611058814
H-1.csv,8.06205,8,0.9052807469180818
H-2.csv,6.38741,8,1.3199078440943832
H-3.csv,9.58004,1305,0.29030985796236214
H-4.csv,8.10489,4,1.9591675185171535
J-1.csv,10.9207,8,1.6333966499380848
J-2.csv,17.851,1263,0.37627057525755037
J-3.csv,14.3245,8,1.2736247788638586
J-4.csv,9.81258,4,1.4773820209942021
K-6.csv,12.8123,3,0.8624516452748043
K-7.csv,4.17178,8,1.7159343607551074
K-8.csv,11.121,606,0.32412841090531147
K-9.csv,10.282,246,0.24519010272737837
Z-1.csv,16.1918,2,0.005590560425372758
Z-2.csv,17.2529,1281,0.383556924878172
37100078.csv,0.0655135,3,0.2147127329858407
37100141.csv,0.035949,2,6.014751219463619e-08
CS_ANG.csv,0.0051699,3,0.0321378280468531
13100166.csv,1.72493,3,0.33414546933007355
13100169.csv,0.511382,2,0.008943459148097613
13100170.csv,2.20979,2,0.038768242142146025
13100172.csv,0.523545,2,0.007728300934213595
13100173.csv,1.06418,2,0.007728300934213635
34100282.csv,9.83106,2,0.0012014212479648464
37100004.csv,5.90475,2,0.07441734450651076
37100005.csv,8.78894,2,0.0010544823933971823
37100006.csv,8.13881,2,0.0014654887481750547
jan-feb-foils.csv,0.0618225,2,0.09985302976842463
csv-4.csv,0.0074852,13,0.37030235075378093
DailyUsage.csv,0.010737,15,0.45777777777777706
eduroam.csv,0.0054104,2,0.19403097324343904
geojson-2.csv,0.0176606,4,0.037064112782551034
json-5.csv,0.0346848,7,0.13343324246188915
