dataset,time,number-clusters,silhouette
tab-12.csv,0.0112155,6,0.5003036481456065
tab-14.csv,0.0069367,2,0.6710273199531565
tab-15.csv,0.0081652,2,0.8958823575445005
tab-35.csv,0.0108253,2,0.8324889231817608
tab-36.csv,0.0107214,10,0.47865685904900923
tab-37.csv,0.0460653,2,0.9172361531192545
tab-38.csv,0.0395135,2,0.9370328856127317
tab-42.csv,0.0248912,2,0.9140127046843105
tab-45.csv,0.0409446,3,0.9432955487826163
tab-47.csv,0.0133558,2,0.7615760167126405
tab-94.csv,0.006903,3,0.576944572694731
21100183.csv,0.0334312,3,0.739410015455373
21100245.csv,0.0103721,2,0.5823298124695769
artpublic.csv,0.209159,2,0.4953925457197593
ccsf_en.csv,13.5204,3,0.9066104059436235
dados.csv,34.0549,3,0.8378137520791525
covid-line-list.csv,4.05945,2,0.9588731308858558
estimations.csv,0.037091,4,0.9093459334439783
liz-friedman-covid.csv,0.0116826,2,0.8207413710122938
accidental_deaths.csv,7.88625,2,0.9764638561582454
children_injured.csv,9.44258,2,0.9760028442693438
children_killed.csv,7.10671,2,0.9764218175045953
Crime1.csv,128.569,2,0.9889950403685152
knifecrime2.csv,27.3945,6,0.9879371431117174
teens_injured.csv,3.35668,2,0.9844063721199596
teens_killed.csv,5.00822,2,0.981122296770977
39100009-000000.csv,24.9449,3,0.8351165867759696
39100009-000001.csv,57.6089,3,0.8838289451556052
39100009-000002.csv,38.622,3,0.9253880569431665
39100009-000003.csv,49.4428,3,0.8182590434867436
39100009-000004.csv,31.735,3,0.7230832815338489
39100009-000005.csv,47.9826,5,0.907194517275198
39100009-000006.csv,42.4044,2,0.8858186261318219
39100009-000007.csv,0.0659805,2,0.9999956480086093
39100011.csv,0.0092617,3,0.7748180233054942
39100016.csv,0.331455,3,0.8042961357723473
39100019.csv,0.0232139,2,0.9980406377194472
39100020.csv,0.97206,2,0.9980690342742379
39100021.csv,5.35866,2,0.959089360183504
39100029.csv,0.0109318,3,0.7708519731764755
39100033.csv,0.00649,3,0.7644273942195955
39100037.csv,6.21258,3,0.7808550275742532
39100038.csv,0.0270797,3,0.7731538585967704
tag00120.csv,2.41657,2,0.9695984231351586
32100004.csv,3.14855,3,0.9688314935790806
32100009.csv,35.5828,3,0.8042420474158651
32100010.csv,78.2682,539,0.6681115486537947
32100020.csv,25.5043,3,0.8042373968098379
32100024.csv,6.74687,2,0.99844552982489
32100027.csv,3.99751,10,0.5275290999071311
32100030.csv,3.56511,7,0.7792657124127141
32100084.csv,5.3366,2,0.9984463880409817
32100166.csv,3.82123,3,0.8041297067381539
32100192.csv,33.9551,3,0.8038959713041549
co2-nuts-2.csv,0.078362,2,0.7381137559481061
med_en1.csv,0.0085632,2,0.421120741323449
med_en2.csv,0.0139237,7,0.4328921584544601
t2020_30.csv,0.0167656,2,0.8792028961354301
videos_utf8.csv,74.9707,2,0.9861929251870022
both_sexes.csv,0.0193432,2,0.9999940064470527
divorce.csv,0.0085554,3,0.7048570135098423
men.csv,0.0185551,3,0.7189315920042573
women.csv,0.0192715,5,0.5749183030104824
B-9.csv,0.458191,3,0.5685421829767958
C-6.csv,0.229362,3,0.9897792215873177
D-1.csv,0.832998,2,0.996578375605556
E-7.csv,0.34875,3,0.9898215447265626
F-4.csv,0.795656,3,0.9842681320872917
G-3.csv,0.377808,3,0.9873597598900135
H-1.csv,21.8782,3,0.9247371457825545
H-2.csv,34.091,3,0.9124111462672377
H-3.csv,31.1647,2,0.9344954951961333
H-4.csv,40.4651,3,0.9242448347941608
J-1.csv,16.225,4,0.9276345879966997
J-2.csv,29.96,3,0.9066581878852714
J-3.csv,31.6511,3,0.9121446703738572
J-4.csv,28.3627,3,0.9261765762033379
K-6.csv,13.4203,4,0.9293356208697184
K-7.csv,19.4362,4,0.9298279465678416
K-8.csv,19.7347,2,0.9381582644451004
K-9.csv,13.8431,895,0.18509660290361835
Z-1.csv,12.3084,4,0.992800315686086
Z-2.csv,11.9255,1264,0.3653353446636609
37100078.csv,0.0710947,2,0.9986435408676924
37100141.csv,0.0603343,2,0.9999998864794765
CS_ANG.csv,0.005001,3,0.7193840344686846
13100166.csv,2.27372,2,0.9999943122353683
13100169.csv,1.02109,2,0.9887996033569694
13100170.csv,3.96913,2,0.977609055470501
13100172.csv,1.18499,2,0.9915513916441981
13100173.csv,0.972553,2,0.9915524604118586
34100282.csv,21.2281,3,0.7811220304851727
37100004.csv,9.05525,2,0.9712813679481249
37100005.csv,18.8164,2,0.9988511393063966
37100006.csv,18.449,2,0.9983780923773087
jan-feb-foils.csv,0.137025,2,0.9467506857830473
csv-4.csv,0.0144249,3,0.8739639672262323
DailyUsage.csv,0.0087846,3,0.7073780657927906
eduroam.csv,0.0044537,2,0.7458863142226536
geojson-2.csv,0.0182211,5,0.8256041770910096
json-5.csv,0.006001,7,0.5506539216714498
